# VFSA 2D iteration best - 2026-09-14 17:05:45
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=0.1  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1        1            1       444.2751     -63.4345      1.03592     1.03592     444.2751     1.03592      1 chain_01/itr_00001_trial_01.rho
     1        2       0.9828       424.8143     -19.4609      1.01298     1.01298     424.8143     1.01298      1 chain_01/itr_00002_trial_01.rho
     1        3        0.966       433.6410       8.8268      1.02345     1.02345     424.8143     1.01298      1 chain_01/itr_00003_trial_01.rho
     1        4       0.9494       417.3944     -16.2467      1.00409     1.00409     417.3944     1.00409      1 chain_01/itr_00004_trial_01.rho
     1        5       0.9331       382.3968     -34.9976      0.96107     0.96107     382.3968     0.96107      1 chain_01/itr_00005_trial_01.rho
     1        6       0.9171       395.9685      13.5717      0.97798     0.97798     382.3968     0.96107      1 chain_01/itr_00006_trial_01.rho
     1        7       0.9013       388.4590      -7.5095      0.96866     0.96866     382.3968     0.96107      1 chain_01/itr_00007_trial_01.rho
     1        8       0.8859       381.5251      -6.9339      0.95998     0.95998     381.5251     0.95998      1 chain_01/itr_00008_trial_01.rho
     1        9       0.8707       408.2514      26.7264      0.99303     0.99303     381.5251     0.95998      1 chain_01/itr_00009_trial_01.rho
     1       10       0.8557       409.9002       1.6488      0.99504     0.99504     381.5251     0.95998      1 chain_01/itr_00010_trial_01.rho
     1       11        0.841       442.9141      33.0139      1.03433     1.03433     381.5251     0.95998      1 chain_01/itr_00011_trial_01.rho
     1       12       0.8266       457.3853      14.4711      1.05109     1.05109     381.5251     0.95998      1 chain_01/itr_00012_trial_01.rho
     1       13       0.8124       473.0810      15.6958      1.06898     1.06898     381.5251     0.95998      1 chain_01/itr_00013_trial_01.rho
     1       14       0.7985       500.4816      27.4006      1.09950     1.09950     381.5251     0.95998      1 chain_01/itr_00014_trial_01.rho
     1       15       0.7848       528.5816      28.1000      1.12994     1.12994     381.5251     0.95998      1 chain_01/itr_00015_trial_01.rho
