lon,lat,elev_m,bouguer_mGal,acc_raw,local_x_perp_m,local_y_along_m
127.458001,-25.956942,553.7,40.240,3.00,5215.4,44422.6
127.354661,-25.938613,512.5,36.511,3.00,7253.5,34095.0
127.249662,-25.948614,488.6,14.380,3.00,6141.5,23601.6
127.151332,-25.928615,523.4,-14.077,3.00,8365.2,13774.7
127.051333,-25.948616,523.2,-40.062,3.00,6141.2,3781.0
126.961333,-25.945286,502.0,-46.453,3.00,6511.5,-5213.5
126.856334,-25.945287,522.4,-37.275,3.00,6511.4,-15706.9
126.738005,-25.955288,558.5,-28.157,3.00,5399.3,-27532.4
126.649665,-25.940289,524.1,-31.891,3.00,7067.2,-36361.0
128.954646,-25.556926,642.9,-77.209,3.00,49695.2,193994.4
128.457990,-25.565271,589.1,-83.596,3.00,48767.3,144359.5
128.356320,-25.555272,562.5,-56.191,3.00,49879.1,134198.8
128.249651,-25.556933,556.4,-46.635,3.00,49694.4,123538.5
128.152992,-25.556933,560.7,-47.397,3.00,49694.4,113878.6
128.049653,-25.651935,588.3,-46.930,3.00,39130.7,103551.1
128.154653,-25.643604,604.6,-52.477,3.00,40057.0,114044.6
128.249652,-25.663603,586.7,-55.878,3.00,37833.2,123538.6
128.352991,-25.646932,592.1,-46.917,3.00,39687.0,133866.1
128.452991,-25.646931,583.5,-68.580,3.00,39687.1,143859.9
128.667989,-25.670269,613.7,-66.232,3.00,37092.0,165346.4
128.749649,-25.646928,634.9,-65.245,3.00,39687.4,173507.4
128.847988,-25.658598,634.0,-56.016,3.00,38389.8,183335.2
128.957987,-25.648597,627.1,-49.105,3.00,39501.8,194328.3
128.947988,-25.750267,619.4,-38.095,3.00,28196.6,193329.0
128.851319,-25.751928,614.4,-46.957,3.00,28011.9,183668.1
128.752990,-25.745269,612.3,-57.325,3.00,28752.4,173841.3
128.666320,-25.755270,597.5,-59.524,3.00,27640.3,165179.6
128.447992,-25.748602,568.2,-57.566,3.00,28381.8,143360.4
128.364652,-25.751932,588.9,-37.456,3.00,28011.5,135031.5
128.256323,-25.751933,578.0,-60.531,3.00,28011.4,124205.3
128.146324,-25.748604,564.8,-62.936,3.00,28381.6,113212.2
128.046324,-25.748605,572.5,-51.146,3.00,28381.4,103218.4
128.037995,-25.826936,545.0,-57.852,3.00,19671.4,102386.0
128.156325,-25.850275,536.8,-59.891,3.00,17076.3,114211.7
128.249654,-25.845274,539.3,-67.188,3.00,17632.3,123538.8
128.312994,-25.846933,544.4,-62.681,3.00,17447.9,129868.9
128.449653,-25.853602,559.1,-41.581,3.00,16706.3,143526.4
128.552992,-25.853601,572.9,-54.520,3.00,16706.4,153853.9
128.761321,-25.850269,601.0,-54.595,3.00,17076.9,174673.9
128.856320,-25.840268,611.7,-47.474,3.00,18189.0,184167.9
128.964649,-25.853598,665.9,-40.546,3.00,16706.8,194994.1
128.996321,-25.996928,642.1,-23.570,3.00,769.2,198159.3
128.954651,-25.946928,642.5,-35.896,3.00,6328.9,193994.9
128.867991,-25.950269,627.0,-36.169,3.00,5957.4,185334.2
128.749652,-25.948600,609.8,-43.385,3.00,6143.0,173507.7
128.452994,-25.948603,557.8,-48.300,3.00,6142.7,143860.2
128.352995,-25.948604,555.5,-42.726,3.00,6142.6,133866.5
128.249655,-25.950275,531.6,-48.782,3.00,5956.8,123538.9
128.142996,-25.937775,521.0,-62.534,3.00,7346.7,112879.6
128.044657,-25.951936,506.5,-43.102,3.00,5772.1,103051.8
128.314656,-26.008604,563.1,-6.775,3.00,-529.1,130035.0
128.746323,-26.000270,605.5,-10.472,3.00,397.6,173175.0
127.561325,-25.556939,558.5,-28.805,3.00,49693.7,54748.6
127.656325,-25.556938,558.0,-36.549,3.00,49693.8,64242.7
127.754654,-25.561937,521.1,-49.415,3.00,49138.0,74069.5
127.864653,-25.556936,533.3,-43.468,3.00,49694.1,85062.6
127.952994,-25.656936,571.6,-40.043,3.00,38574.6,93891.2
127.851325,-25.650277,541.0,-45.797,3.00,39315.0,83730.6
127.752995,-25.648607,520.4,-45.584,3.00,39500.7,73903.7
127.652996,-25.650278,538.5,-34.463,3.00,39314.9,63910.0
127.549657,-25.650279,520.1,2.278,3.00,39314.8,53582.5
127.547998,-25.746940,508.5,17.386,3.00,28566.6,53416.7
127.664657,-25.756939,524.6,-2.643,3.00,27454.7,65075.4
127.747996,-25.748608,525.6,-24.954,3.00,28381.1,73404.1
127.846326,-25.750277,540.9,-52.510,3.00,28195.5,83231.0
127.944655,-25.746936,561.9,-52.050,3.00,28567.0,93057.8
127.949656,-25.855277,534.4,-49.436,3.00,16520.1,93557.6
127.851327,-25.851938,518.3,-27.540,3.00,16891.3,83730.8
127.749658,-25.855279,521.7,-2.258,3.00,16519.8,73570.2
127.661328,-25.861939,532.4,0.260,3.00,15779.3,64742.7
127.547999,-25.858610,559.8,20.425,3.00,16149.4,53416.8
127.554660,-25.955281,532.3,50.164,3.00,5400.1,54082.5
127.651329,-25.953610,510.9,8.582,3.00,5585.9,63743.4
127.756328,-25.940609,507.2,-8.150,3.00,7031.6,74236.8
127.847998,-25.951938,496.5,-17.225,3.00,5771.8,83398.1
127.959657,-25.955277,502.9,-35.476,3.00,5400.6,94557.1
129.216315,-25.581924,657.6,-40.897,3.00,46915.5,220145.1
129.377983,-25.576922,684.6,-33.293,3.00,47471.7,236301.9
130.457976,-25.648583,671.0,-98.851,3.00,39503.4,344234.3
130.351307,-25.648584,657.9,-95.354,3.00,39503.3,333574.0
130.262978,-25.661915,688.8,-84.673,3.00,38020.9,324746.5
130.151309,-25.650256,697.8,-72.022,3.00,39317.4,313586.6
130.049639,-25.645257,705.9,-57.537,3.00,39873.2,303425.9
129.941310,-25.650258,683.8,-42.122,3.00,39317.1,292599.7
129.751312,-25.653589,687.2,-31.393,3.00,38946.7,273611.6
129.649642,-25.645260,685.0,-29.446,3.00,39872.9,263450.9
129.546313,-25.646921,673.0,-36.891,3.00,39688.2,253124.4
