# VFSA 2D iteration best - 2026-09-15 00:27:51
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2        1            1    860555.2480   90493.2694     32.00735    32.00735  770061.9786    30.27772      1 chain_02/itr_00001_trial_01.rho
     2        2       0.9914   1028238.4176  167683.1695     34.98705    34.98705  770061.9786    30.27772      1 chain_02/itr_00002_trial_01.rho
     2        3       0.9829   1124478.3793   96239.9617     36.58777    36.58777  770061.9786    30.27772      1 chain_02/itr_00003_trial_01.rho
     2        4       0.9744    997620.0662 -126858.3132     34.46220    34.46220  770061.9786    30.27772      1 chain_02/itr_00004_trial_01.rho
     2        5        0.966    939377.4901  -58242.5761     33.44109    33.44109  770061.9786    30.27772      1 chain_02/itr_00005_trial_01.rho
     2        6       0.9577    923929.9931  -15447.4970     33.16499    33.16499  770061.9786    30.27772      1 chain_02/itr_00006_trial_01.rho
     2        7       0.9494   1003874.8765   79944.8834     34.57006    34.57006  770061.9786    30.27772      1 chain_02/itr_00007_trial_01.rho
     2        8       0.9413   1133707.4994  129832.6229     36.73761    36.73761  770061.9786    30.27772      1 chain_02/itr_00008_trial_01.rho
     2        9       0.9332   1206705.4759   72997.9765     37.90190    37.90190  770061.9786    30.27772      1 chain_02/itr_00009_trial_01.rho
     2       10       0.9251   1306008.3910   99302.9151     39.43060    39.43060  770061.9786    30.27772      1 chain_02/itr_00010_trial_01.rho
     2       11       0.9172   1217681.4191  -88326.9720     38.07389    38.07389  770061.9786    30.27772      1 chain_02/itr_00011_trial_01.rho
     2       12       0.9093   1271834.3070   54152.8880     38.91129    38.91129  770061.9786    30.27772      1 chain_02/itr_00012_trial_01.rho
     2       13       0.9015   1256006.2695  -15828.0376     38.66841    38.66841  770061.9786    30.27772      1 chain_02/itr_00013_trial_01.rho
     2       14       0.8937   1085722.9368 -170283.3326     35.95174    35.95174  770061.9786    30.27772      1 chain_02/itr_00014_trial_01.rho
     2       15        0.886    961673.0714 -124049.8655     33.83562    33.83562  770061.9786    30.27772      1 chain_02/itr_00015_trial_01.rho
     2       16       0.8784    769348.3077 -192324.7637     30.26369    30.26369  769348.3077    30.26369      1 chain_02/itr_00016_trial_01.rho
     2       17       0.8708    776056.1767    6707.8690     30.39534    30.39534  769348.3077    30.26369      1 chain_02/itr_00017_trial_01.rho
     2       18       0.8633    689099.5494  -86956.6273     28.64187    28.64187  689099.5494    28.64187      1 chain_02/itr_00018_trial_01.rho
     2       19       0.8559    556879.1703 -132220.3791     25.74784    25.74784  556879.1703    25.74784      1 chain_02/itr_00019_trial_01.rho
     2       20       0.8485    544515.3392  -12363.8310     25.46041    25.46041  544515.3392    25.46041      1 chain_02/itr_00020_trial_01.rho
     2       21       0.8412    509104.2440  -35411.0952     24.61862    24.61862  509104.2440    24.61862      1 chain_02/itr_00021_trial_01.rho
     2       22        0.834    446742.0825  -62362.1614     23.06157    23.06157  446742.0825    23.06157      1 chain_02/itr_00022_trial_01.rho
     2       23       0.8268    447749.8686    1007.7860     23.08756    23.08756  446742.0825    23.06157      1 chain_02/itr_00023_trial_01.rho
