# VFSA 2D iteration best - 2026-09-14 19:50:57
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
     1       48       0.4432     25547.6213     329.7947      5.51487     5.51487   14686.3109     4.18135      1 chain_01/itr_00048_trial_01.rho
     1       49       0.4356     25005.5470    -542.0743      5.45605     5.45605   14686.3109     4.18135      1 chain_01/itr_00049_trial_01.rho
     1       50       0.4281     24107.8587    -897.6883      5.35722     5.35722   14686.3109     4.18135      1 chain_01/itr_00050_trial_01.rho
     1       51       0.4208     24719.2502     611.3916      5.42473     5.42473   14686.3109     4.18135      1 chain_01/itr_00051_trial_01.rho
     1       52       0.4136     24323.8938    -395.3564      5.38117     5.38117   14686.3109     4.18135      1 chain_01/itr_00052_trial_01.rho
     1       53       0.4065     24598.8243     274.9305      5.41150     5.41150   14686.3109     4.18135      1 chain_01/itr_00053_trial_01.rho
     1       54       0.3995     25339.9167     741.0924      5.49241     5.49241   14686.3109     4.18135      1 chain_01/itr_00054_trial_01.rho
     1       55       0.3926     24585.0045    -754.9122      5.40998     5.40998   14686.3109     4.18135      1 chain_01/itr_00055_trial_01.rho
     1       56       0.3859     25342.3847     757.3802      5.49268     5.49268   14686.3109     4.18135      1 chain_01/itr_00056_trial_01.rho
     1       57       0.3793     25421.8768      79.4921      5.50129     5.50129   14686.3109     4.18135      1 chain_01/itr_00057_trial_01.rho
     1       58       0.3728     25039.7230    -382.1538      5.45978     5.45978   14686.3109     4.18135      1 chain_01/itr_00058_trial_01.rho
     1       59       0.3664     26343.1916    1303.4686      5.60008     5.60008   14686.3109     4.18135      1 chain_01/itr_00059_trial_01.rho
     1       60       0.3601     26751.8949     408.7034      5.64336     5.64336   14686.3109     4.18135      1 chain_01/itr_00060_trial_01.rho
     1       61       0.3539     25365.9975   -1385.8974      5.49524     5.49524   14686.3109     4.18135      1 chain_01/itr_00061_trial_01.rho
     1       62       0.3478     25365.9975       0.0000      5.49524     5.49524   14686.3109     4.18135      0 -
     1       63       0.3418     25365.9975       0.0000      5.49524     5.49524   14686.3109     4.18135      0 -
     1       64        0.336     25886.3059     520.3084      5.55131     5.55131   14686.3109     4.18135      1 chain_01/itr_00064_trial_01.rho
     1       65       0.3302     26028.3443     142.0384      5.56652     5.56652   14686.3109     4.18135      1 chain_01/itr_00065_trial_01.rho
     1       66       0.3245     25279.7877    -748.5566      5.48589     5.48589   14686.3109     4.18135      1 chain_01/itr_00066_trial_01.rho
     1       67        0.319     26464.5987    1184.8110      5.61297     5.61297   14686.3109     4.18135      1 chain_01/itr_00067_trial_01.rho
     1       68       0.3135     26838.2438     373.6451      5.65246     5.65246   14686.3109     4.18135      1 chain_01/itr_00068_trial_01.rho
     1       69       0.3081     28011.9970    1173.7532      5.77474     5.77474   14686.3109     4.18135      1 chain_01/itr_00069_trial_01.rho
     1       70       0.3028     27021.7993    -990.1977      5.67176     5.67176   14686.3109     4.18135      1 chain_01/itr_00070_trial_01.rho
     1       71       0.2976     27404.9039     383.1046      5.71182     5.71182   14686.3109     4.18135      1 chain_01/itr_00071_trial_01.rho
     1       72       0.2925     26946.9055    -457.9984      5.66389     5.66389   14686.3109     4.18135      1 chain_01/itr_00072_trial_01.rho
     1       73       0.2875     25774.6174   -1172.2881      5.53932     5.53932   14686.3109     4.18135      1 chain_01/itr_00073_trial_01.rho
     1       74       0.2826     24168.6828   -1605.9346      5.36398     5.36398   14686.3109     4.18135      1 chain_01/itr_00074_trial_01.rho
     1       75       0.2777     24168.6828       0.0000      5.36398     5.36398   14686.3109     4.18135      0 -
     1       76        0.273     24281.1300     112.4472      5.37644     5.37644   14686.3109     4.18135      1 chain_01/itr_00076_trial_01.rho
     1       77       0.2683     25426.6894    1145.5593      5.50181     5.50181   14686.3109     4.18135      1 chain_01/itr_00077_trial_01.rho
     1       78       0.2637     24968.0191    -458.6703      5.45196     5.45196   14686.3109     4.18135      1 chain_01/itr_00078_trial_01.rho
     1       79       0.2591     25558.2546     590.2355      5.51602     5.51602   14686.3109     4.18135      1 chain_01/itr_00079_trial_01.rho
     1       80       0.2547     25360.1529    -198.1017      5.49460     5.49460   14686.3109     4.18135      1 chain_01/itr_00080_trial_01.rho
     1       81       0.2503     27567.8173    2207.6644      5.72877     5.72877   14686.3109     4.18135      1 chain_01/itr_00081_trial_01.rho
     1       82        0.246     28976.4392    1408.6219      5.87331     5.87331   14686.3109     4.18135      1 chain_01/itr_00082_trial_01.rho
     1       83       0.2418     28757.7751    -218.6641      5.85111     5.85111   14686.3109     4.18135      1 chain_01/itr_00083_trial_01.rho
     1       84       0.2377     27376.0672   -1381.7079      5.70881     5.70881   14686.3109     4.18135      1 chain_01/itr_00084_trial_01.rho
     1       85       0.2336     27260.1938    -115.8734      5.69672     5.69672   14686.3109     4.18135      1 chain_01/itr_00085_trial_01.rho
     1       86       0.2296     26736.6910    -523.5028      5.64175     5.64175   14686.3109     4.18135      1 chain_01/itr_00086_trial_01.rho
     1       87       0.2256     27119.2012     382.5102      5.68197     5.68197   14686.3109     4.18135      1 chain_01/itr_00087_trial_01.rho
     1       88       0.2218     27119.2012       0.0000      5.68197     5.68197   14686.3109     4.18135      0 -
     1       89       0.2179     25878.9188   -1240.2825      5.55052     5.55052   14686.3109     4.18135      1 chain_01/itr_00089_trial_01.rho
     1       90       0.2142     26563.0096     684.0908      5.62340     5.62340   14686.3109     4.18135      1 chain_01/itr_00090_trial_01.rho
     1       91       0.2105     25911.3677    -651.6419      5.55400     5.55400   14686.3109     4.18135      1 chain_01/itr_00091_trial_01.rho
     1       92       0.2069     25911.3677       0.0000      5.55400     5.55400   14686.3109     4.18135      0 -
     1       93       0.2034     25435.7629    -475.6047      5.50279     5.50279   14686.3109     4.18135      1 chain_01/itr_00093_trial_01.rho
     1       94       0.1999     25435.7629       0.0000      5.50279     5.50279   14686.3109     4.18135      0 -
     1       95       0.1964     27040.2518    1604.4889      5.67369     5.67369   14686.3109     4.18135      1 chain_01/itr_00095_trial_01.rho
     1       96       0.1931     27538.7515     498.4997      5.72575     5.72575   14686.3109     4.18135      1 chain_01/itr_00096_trial_01.rho
     1       97       0.1898     27520.4838     -18.2676      5.72385     5.72385   14686.3109     4.18135      1 chain_01/itr_00097_trial_01.rho
     1       98       0.1865     27655.3167     134.8328      5.73786     5.73786   14686.3109     4.18135      1 chain_01/itr_00098_trial_01.rho
     1       99       0.1833     28986.9063    1331.5896      5.87437     5.87437   14686.3109     4.18135      1 chain_01/itr_00099_trial_01.rho
     1      100       0.1802     28645.0855    -341.8208      5.83963     5.83963   14686.3109     4.18135      1 chain_01/itr_00100_trial_01.rho
     1      101       0.1771     28001.0087    -644.0768      5.77361     5.77361   14686.3109     4.18135      1 chain_01/itr_00101_trial_01.rho
     1      102        0.174     29336.3933    1335.3845      5.90968     5.90968   14686.3109     4.18135      1 chain_01/itr_00102_trial_01.rho
     1      103        0.171     30268.7329     932.3396      6.00285     6.00285   14686.3109     4.18135      1 chain_01/itr_00103_trial_01.rho
     1      104       0.1681     30381.7653     113.0324      6.01405     6.01405   14686.3109     4.18135      1 chain_01/itr_00104_trial_01.rho
     1      105       0.1652     32213.0140    1831.2487      6.19264     6.19264   14686.3109     4.18135      1 chain_01/itr_00105_trial_01.rho
     1      106       0.1624     32967.2475     754.2335      6.26472     6.26472   14686.3109     4.18135      1 chain_01/itr_00106_trial_01.rho
     1      107       0.1596     33194.8506     227.6031      6.28631     6.28631   14686.3109     4.18135      1 chain_01/itr_00107_trial_01.rho
     1      108       0.1569     33474.5906     279.7400      6.31274     6.31274   14686.3109     4.18135      1 chain_01/itr_00108_trial_01.rho
     1      109       0.1542     32207.3004   -1267.2903      6.19209     6.19209   14686.3109     4.18135      1 chain_01/itr_00109_trial_01.rho
     1      110       0.1515     31713.3248    -493.9755      6.14442     6.14442   14686.3109     4.18135      1 chain_01/itr_00110_trial_01.rho
     1      111       0.1489     30205.9453   -1507.3795      5.99662     5.99662   14686.3109     4.18135      1 chain_01/itr_00111_trial_01.rho
     1      112       0.1464     29948.8687    -257.0767      5.97105     5.97105   14686.3109     4.18135      1 chain_01/itr_00112_trial_01.rho
     1      113       0.1438     28931.5097   -1017.3590      5.86875     5.86875   14686.3109     4.18135      1 chain_01/itr_00113_trial_01.rho
     1      114       0.1414     29209.6759     278.1662      5.89690     5.89690   14686.3109     4.18135      1 chain_01/itr_00114_trial_01.rho
     1      115       0.1389     28814.7702    -394.9057      5.85690     5.85690   14686.3109     4.18135      1 chain_01/itr_00115_trial_01.rho
     1      116       0.1366     28754.6672     -60.1031      5.85079     5.85079   14686.3109     4.18135      1 chain_01/itr_00116_trial_01.rho
     1      117       0.1342     29131.5332     376.8661      5.88901     5.88901   14686.3109     4.18135      1 chain_01/itr_00117_trial_01.rho
     1      118       0.1319     28812.2318    -319.3014      5.85664     5.85664   14686.3109     4.18135      1 chain_01/itr_00118_trial_01.rho
     1      119       0.1297     29706.1000     893.8682      5.94680     5.94680   14686.3109     4.18135      1 chain_01/itr_00119_trial_01.rho
     1      120       0.1274     29706.1000       0.0000      5.94680     5.94680   14686.3109     4.18135      0 -
     1      121       0.1252     30990.0899    1283.9899      6.07396     6.07396   14686.3109     4.18135      1 chain_01/itr_00121_trial_01.rho
     1      122       0.1231     32094.3849    1104.2950      6.18123     6.18123   14686.3109     4.18135      1 chain_01/itr_00122_trial_01.rho
     1      123        0.121     32121.0917      26.7069      6.18380     6.18380   14686.3109     4.18135      1 chain_01/itr_00123_trial_01.rho
     1      124       0.1189     32267.3708     146.2791      6.19787     6.19787   14686.3109     4.18135      1 chain_01/itr_00124_trial_01.rho
     1      125       0.1169     32360.4336      93.0628      6.20680     6.20680   14686.3109     4.18135      1 chain_01/itr_00125_trial_01.rho
     1      126       0.1149     31985.4611    -374.9725      6.17073     6.17073   14686.3109     4.18135      1 chain_01/itr_00126_trial_01.rho
     1      127       0.1129     32396.1525     410.6914      6.21022     6.21022   14686.3109     4.18135      1 chain_01/itr_00127_trial_01.rho
     1      128       0.1109     31670.9060    -725.2465      6.14031     6.14031   14686.3109     4.18135      1 chain_01/itr_00128_trial_01.rho
     1      129        0.109     31337.0499    -333.8562      6.10786     6.10786   14686.3109     4.18135      1 chain_01/itr_00129_trial_01.rho
     1      130       0.1072     33049.0787    1712.0288      6.27249     6.27249   14686.3109     4.18135      1 chain_01/itr_00130_trial_01.rho
     1      131       0.1053     33256.1140     207.0353      6.29211     6.29211   14686.3109     4.18135      1 chain_01/itr_00131_trial_01.rho
     1      132       0.1035     33662.8911     406.7772      6.33047     6.33047   14686.3109     4.18135      1 chain_01/itr_00132_trial_01.rho
     1      133       0.1017     34118.3088     455.4176      6.37315     6.37315   14686.3109     4.18135      1 chain_01/itr_00133_trial_01.rho
     1      134          0.1     34118.3088       0.0000      6.37315     6.37315   14686.3109     4.18135      0 -
     1      135      0.09828     34408.0581     289.7494      6.40015     6.40015   14686.3109     4.18135      1 chain_01/itr_00135_trial_01.rho
     1      136       0.0966     34188.7953    -219.2629      6.37973     6.37973   14686.3109     4.18135      1 chain_01/itr_00136_trial_01.rho
     1      137      0.09494     34188.7953       0.0000      6.37973     6.37973   14686.3109     4.18135      0 -
     1      138      0.09331     34188.7953       0.0000      6.37973     6.37973   14686.3109     4.18135      0 -
     1      139      0.09171     33943.6933    -245.1020      6.35682     6.35682   14686.3109     4.18135      1 chain_01/itr_00139_trial_01.rho
     1      140      0.09013     32959.0704    -984.6229      6.26394     6.26394   14686.3109     4.18135      1 chain_01/itr_00140_trial_01.rho
     1      141      0.08859     32959.0704       0.0000      6.26394     6.26394   14686.3109     4.18135      0 -
     1      142      0.08707     34491.9410    1532.8706      6.40795     6.40795   14686.3109     4.18135      1 chain_01/itr_00142_trial_01.rho
     1      143      0.08557     33848.5635    -643.3775      6.34791     6.34791   14686.3109     4.18135      1 chain_01/itr_00143_trial_01.rho
     1      144       0.0841     34475.6477     627.0842      6.40644     6.40644   14686.3109     4.18135      1 chain_01/itr_00144_trial_01.rho
