iter	half_c1	half_c2	half_best	prior_c1	prior_c2	prior_best
87	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
88	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
89	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
90	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
91	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
92	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
93	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
94	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
95	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
96	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
97	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
98	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
99	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
100	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
101	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
102	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
103	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
104	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
105	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
106	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
107	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
108	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
109	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
110	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
111	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
112	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
113	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
114	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
115	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
116	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
117	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
118	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
119	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
120	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
121	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
122	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
123	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
124	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
125	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
126	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
127	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
128	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
129	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
130	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
131	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
132	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
133	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
134	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
135	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
136	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
137	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
138	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
139	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
140	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
141	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
142	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
143	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
144	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
145	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
146	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
147	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
148	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
149	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
150	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
151	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
152	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
153	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
154	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
155	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
156	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
157	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
158	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
159	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
160	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
161	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
162	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
163	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
164	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
165	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
166	1.217642	1.174017	1.174017	0.959978	0.920416	0.920416
