# VFSA 2D iteration best - 2026-09-14 17:45:22
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2        1            1     17517.4325       4.6314      4.56663     4.56663   17512.8011     4.56602      1 chain_02/itr_00001_trial_01.rho
     2        2       0.9828     17467.1524     -50.2800      4.56007     4.56007   17467.1524     4.56007      1 chain_02/itr_00002_trial_01.rho
     2        3        0.966     18028.1353     560.9828      4.63272     4.63272   17467.1524     4.56007      1 chain_02/itr_00003_trial_01.rho
     2        4       0.9494     19103.6720    1075.5367      4.76891     4.76891   17467.1524     4.56007      1 chain_02/itr_00004_trial_01.rho
     2        5       0.9331     19119.6925      16.0206      4.77091     4.77091   17467.1524     4.56007      1 chain_02/itr_00005_trial_01.rho
     2        6       0.9171     18333.3292    -786.3634      4.67177     4.67177   17467.1524     4.56007      1 chain_02/itr_00006_trial_01.rho
     2        7       0.9013     18642.6496     309.3204      4.71101     4.71101   17467.1524     4.56007      1 chain_02/itr_00007_trial_01.rho
     2        8       0.8859     20000.5012    1357.8516      4.87956     4.87956   17467.1524     4.56007      1 chain_02/itr_00008_trial_01.rho
     2        9       0.8707     18201.3132   -1799.1881      4.65491     4.65491   17467.1524     4.56007      1 chain_02/itr_00009_trial_01.rho
     2       10       0.8557     16627.3523   -1573.9609      4.44910     4.44910   16627.3523     4.44910      1 chain_02/itr_00010_trial_01.rho
     2       11        0.841     17393.4996     766.1474      4.55044     4.55044   16627.3523     4.44910      1 chain_02/itr_00011_trial_01.rho
     2       12       0.8266     17603.4792     209.9796      4.57783     4.57783   16627.3523     4.44910      1 chain_02/itr_00012_trial_01.rho
     2       13       0.8124     17417.5381    -185.9411      4.55359     4.55359   16627.3523     4.44910      1 chain_02/itr_00013_trial_01.rho
