# VFSA 2D iteration best - 2026-09-14 16:55:58
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1        1            1     17411.3631    -540.9892      4.55278     4.55278   17411.3631     4.55278      1 chain_01/itr_00001_trial_01.rho
     1        2       0.9828     15698.7210   -1712.6421      4.32307     4.32307   15698.7210     4.32307      1 chain_01/itr_00002_trial_01.rho
     1        3        0.966     16339.7321     641.0112      4.41045     4.41045   15698.7210     4.32307      1 chain_01/itr_00003_trial_01.rho
     1        4       0.9494     16385.9425      46.2103      4.41668     4.41668   15698.7210     4.32307      1 chain_01/itr_00004_trial_01.rho
     1        5       0.9331     17056.2661     670.3236      4.50612     4.50612   15698.7210     4.32307      1 chain_01/itr_00005_trial_01.rho
     1        6       0.9171     17212.3584     156.0924      4.52669     4.52669   15698.7210     4.32307      1 chain_01/itr_00006_trial_01.rho
     1        7       0.9013     16813.9454    -398.4130      4.47399     4.47399   15698.7210     4.32307      1 chain_01/itr_00007_trial_01.rho
     1        8       0.8859     16150.1192    -663.8263      4.38478     4.38478   15698.7210     4.32307      1 chain_01/itr_00008_trial_01.rho
     1        9       0.8707     16815.1155     664.9963      4.47415     4.47415   15698.7210     4.32307      1 chain_01/itr_00009_trial_01.rho
     1       10       0.8557     17252.8020     437.6865      4.53200     4.53200   15698.7210     4.32307      1 chain_01/itr_00010_trial_01.rho
     1       11        0.841     16638.1593    -614.6427      4.45054     4.45054   15698.7210     4.32307      1 chain_01/itr_00011_trial_01.rho
     1       12       0.8266     16831.3604     193.2011      4.47631     4.47631   15698.7210     4.32307      1 chain_01/itr_00012_trial_01.rho
     1       13       0.8124     15674.2217   -1157.1388      4.31970     4.31970   15674.2217     4.31970      1 chain_01/itr_00013_trial_01.rho
     1       14       0.7985     15572.9600    -101.2617      4.30572     4.30572   15572.9600     4.30572      1 chain_01/itr_00014_trial_01.rho
     1       15       0.7848     17438.4279    1865.4680      4.55632     4.55632   15572.9600     4.30572      1 chain_01/itr_00015_trial_01.rho
     1       16       0.7713     17526.7887      88.3608      4.56785     4.56785   15572.9600     4.30572      1 chain_01/itr_00016_trial_01.rho
     1       17       0.7581     18203.1707     676.3820      4.65515     4.65515   15572.9600     4.30572      1 chain_01/itr_00017_trial_01.rho
     1       18        0.745     17312.6446    -890.5262      4.53986     4.53986   15572.9600     4.30572      1 chain_01/itr_00018_trial_01.rho
     1       19       0.7323     17607.6194     294.9749      4.57837     4.57837   15572.9600     4.30572      1 chain_01/itr_00019_trial_01.rho
     1       20       0.7197     18051.4884     443.8689      4.63572     4.63572   15572.9600     4.30572      1 chain_01/itr_00020_trial_01.rho
     1       21       0.7073     17427.9600    -623.5284      4.55495     4.55495   15572.9600     4.30572      1 chain_01/itr_00021_trial_01.rho
     1       22       0.6952     17395.0996     -32.8604      4.55065     4.55065   15572.9600     4.30572      1 chain_01/itr_00022_trial_01.rho
     1       23       0.6833     18977.7384    1582.6388      4.75316     4.75316   15572.9600     4.30572      1 chain_01/itr_00023_trial_01.rho
     1       24       0.6715     19534.8468     557.1084      4.82242     4.82242   15572.9600     4.30572      1 chain_01/itr_00024_trial_01.rho
     1       25         0.66     18776.0827    -758.7641      4.72784     4.72784   15572.9600     4.30572      1 chain_01/itr_00025_trial_01.rho
     1       26       0.6487     19589.3840     813.3013      4.82915     4.82915   15572.9600     4.30572      1 chain_01/itr_00026_trial_01.rho
     1       27       0.6375     18880.5389    -708.8451      4.74097     4.74097   15572.9600     4.30572      1 chain_01/itr_00027_trial_01.rho
     1       28       0.6266     18625.1793    -255.3596      4.70880     4.70880   15572.9600     4.30572      1 chain_01/itr_00028_trial_01.rho
     1       29       0.6158     18946.6457     321.4664      4.74927     4.74927   15572.9600     4.30572      1 chain_01/itr_00029_trial_01.rho
     1       30       0.6053     20384.6403    1437.9946      4.92620     4.92620   15572.9600     4.30572      1 chain_01/itr_00030_trial_01.rho
     1       31       0.5949     21854.8606    1470.2203      5.10075     5.10075   15572.9600     4.30572      1 chain_01/itr_00031_trial_01.rho
     1       32       0.5847     20876.1577    -978.7029      4.98524     4.98524   15572.9600     4.30572      1 chain_01/itr_00032_trial_01.rho
     1       33       0.5746     20619.3011    -256.8566      4.95447     4.95447   15572.9600     4.30572      1 chain_01/itr_00033_trial_01.rho
     1       34       0.5648     21279.4695     660.1685      5.03316     5.03316   15572.9600     4.30572      1 chain_01/itr_00034_trial_01.rho
     1       35       0.5551     20838.9053    -440.5643      4.98079     4.98079   15572.9600     4.30572      1 chain_01/itr_00035_trial_01.rho
     1       36       0.5456     20838.9053       0.0000      4.98079     4.98079   15572.9600     4.30572      0 -
     1       37       0.5362     22355.9826    1517.0773      5.15890     5.15890   15572.9600     4.30572      1 chain_01/itr_00037_trial_01.rho
     1       38        0.527     22181.9251    -174.0575      5.13878     5.13878   15572.9600     4.30572      1 chain_01/itr_00038_trial_01.rho
     1       39       0.5179     22480.4281     298.5029      5.17324     5.17324   15572.9600     4.30572      1 chain_01/itr_00039_trial_01.rho
