# VFSA 2D iteration best - 2026-09-15 00:50:10
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2        1            1    860555.2480   90493.2694     32.00735    32.00735  770061.9786    30.27772      1 chain_02/itr_00001_trial_01.rho
     2        2       0.9977   1028321.9587  167766.7106     34.98847    34.98847  770061.9786    30.27772      1 chain_02/itr_00002_trial_01.rho
     2        3       0.9954   1124675.2240   96353.2654     36.59097    36.59097  770061.9786    30.27772      1 chain_02/itr_00003_trial_01.rho
     2        4       0.9931    997770.7718 -126904.4522     34.46480    34.46480  770061.9786    30.27772      1 chain_02/itr_00004_trial_01.rho
     2        5       0.9908    939531.8124  -58238.9594     33.44384    33.44384  770061.9786    30.27772      1 chain_02/itr_00005_trial_01.rho
     2        6       0.9885    924284.9857  -15246.8267     33.17136    33.17136  770061.9786    30.27772      1 chain_02/itr_00006_trial_01.rho
     2        7       0.9863   1004027.8771   79742.8913     34.57270    34.57270  770061.9786    30.27772      1 chain_02/itr_00007_trial_01.rho
     2        8        0.984   1134466.2588  130438.3817     36.74990    36.74990  770061.9786    30.27772      1 chain_02/itr_00008_trial_01.rho
     2        9       0.9817   1206752.2848   72286.0261     37.90264    37.90264  770061.9786    30.27772      1 chain_02/itr_00009_trial_01.rho
     2       10       0.9795   1305986.3968   99234.1120     39.43026    39.43026  770061.9786    30.27772      1 chain_02/itr_00010_trial_01.rho
     2       11       0.9772   1216971.4755  -89014.9213     38.06278    38.06278  770061.9786    30.27772      1 chain_02/itr_00011_trial_01.rho
     2       12        0.975   1272172.6706   55201.1951     38.91647    38.91647  770061.9786    30.27772      1 chain_02/itr_00012_trial_01.rho
     2       13       0.9727   1256035.9608  -16136.7098     38.66886    38.66886  770061.9786    30.27772      1 chain_02/itr_00013_trial_01.rho
     2       14       0.9705   1085612.8745 -170423.0863     35.94991    35.94991  770061.9786    30.27772      1 chain_02/itr_00014_trial_01.rho
     2       15       0.9683    960459.9536 -125152.9209     33.81427    33.81427  770061.9786    30.27772      1 chain_02/itr_00015_trial_01.rho
     2       16        0.966    768173.7338 -192286.2199     30.24058    30.24058  768173.7338    30.24058      1 chain_02/itr_00016_trial_01.rho
     2       17       0.9638    774657.7365    6484.0027     30.36794    30.36794  768173.7338    30.24058      1 chain_02/itr_00017_trial_01.rho
     2       18       0.9616    686960.1242  -87697.6123     28.59737    28.59737  686960.1242    28.59737      1 chain_02/itr_00018_trial_01.rho
     2       19       0.9594    553761.4778 -133198.6464     25.67567    25.67567  553761.4778    25.67567      1 chain_02/itr_00019_trial_01.rho
     2       20       0.9572    540701.9198  -13059.5579     25.37110    25.37110  540701.9198    25.37110      1 chain_02/itr_00020_trial_01.rho
     2       21        0.955    505360.9782  -35340.9416     24.52795    24.52795  505360.9782    24.52795      1 chain_02/itr_00021_trial_01.rho
     2       22       0.9528    442704.0623  -62656.9159     22.95710    22.95710  442704.0623    22.95710      1 chain_02/itr_00022_trial_01.rho
     2       23       0.9506    443834.4904    1130.4281     22.98640    22.98640  442704.0623    22.95710      1 chain_02/itr_00023_trial_01.rho
