# VFSA 2D iteration best - 2026-09-14 16:27:05
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=0.1  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1        1            1      2331.6643    -526.9332      2.37319     2.37319    2331.6643     2.37319      1 chain_01/itr_00001_trial_01.rho
     1        2       0.9828      2170.4857    -161.1786      2.28970     2.28970    2170.4857     2.28970      1 chain_01/itr_00002_trial_01.rho
     1        3        0.966      1941.9342    -228.5515      2.16579     2.16579    1941.9342     2.16579      1 chain_01/itr_00003_trial_01.rho
     1        4       0.9494      1879.6496     -62.2846      2.13078     2.13078    1879.6496     2.13078      1 chain_01/itr_00004_trial_01.rho
     1        5       0.9331      1750.1625    -129.4871      2.05608     2.05608    1750.1625     2.05608      1 chain_01/itr_00005_trial_01.rho
     1        6       0.9171      1692.3120     -57.8505      2.02181     2.02181    1692.3120     2.02181      1 chain_01/itr_00006_trial_01.rho
     1        7       0.9013      1755.1020      62.7899      2.05897     2.05897    1692.3120     2.02181      1 chain_01/itr_00007_trial_01.rho
     1        8       0.8859      1508.9224    -246.1795      1.90912     1.90912    1508.9224     1.90912      1 chain_01/itr_00008_trial_01.rho
     1        9       0.8707      1465.6402     -43.2822      1.88154     1.88154    1465.6402     1.88154      1 chain_01/itr_00009_trial_01.rho
     1       10       0.8557      1378.0869     -87.5533      1.82448     1.82448    1378.0869     1.82448      1 chain_01/itr_00010_trial_01.rho
     1       11        0.841      1415.0188      36.9319      1.84876     1.84876    1378.0869     1.82448      1 chain_01/itr_00011_trial_01.rho
     1       12       0.8266      1357.6591     -57.3597      1.81090     1.81090    1357.6591     1.81090      1 chain_01/itr_00012_trial_01.rho
     1       13       0.8124      1291.2986     -66.3604      1.76609     1.76609    1291.2986     1.76609      1 chain_01/itr_00013_trial_01.rho
     1       14       0.7985      1309.8370      18.5384      1.77872     1.77872    1291.2986     1.76609      1 chain_01/itr_00014_trial_01.rho
     1       15       0.7848      1295.2681     -14.5689      1.76880     1.76880    1291.2986     1.76609      1 chain_01/itr_00015_trial_01.rho
     1       16       0.7713      1286.8459      -8.4223      1.76304     1.76304    1286.8459     1.76304      1 chain_01/itr_00016_trial_01.rho
     1       17       0.7581      1183.5575    -103.2883      1.69081     1.69081    1183.5575     1.69081      1 chain_01/itr_00017_trial_01.rho
     1       18        0.745      1094.7709     -88.7866      1.62615     1.62615    1094.7709     1.62615      1 chain_01/itr_00018_trial_01.rho
     1       19       0.7323      1125.7746      31.0036      1.64902     1.64902    1094.7709     1.62615      1 chain_01/itr_00019_trial_01.rho
     1       20       0.7197      1161.0875      35.3130      1.67468     1.67468    1094.7709     1.62615      1 chain_01/itr_00020_trial_01.rho
     1       21       0.7073      1115.2358     -45.8518      1.64128     1.64128    1094.7709     1.62615      1 chain_01/itr_00021_trial_01.rho
     1       22       0.6952      1109.8180      -5.4178      1.63729     1.63729    1094.7709     1.62615      1 chain_01/itr_00022_trial_01.rho
     1       23       0.6833      1098.5838     -11.2342      1.62898     1.62898    1094.7709     1.62615      1 chain_01/itr_00023_trial_01.rho
     1       24       0.6715      1109.3767      10.7930      1.63696     1.63696    1094.7709     1.62615      1 chain_01/itr_00024_trial_01.rho
     1       25         0.66      1056.0585     -53.3183      1.59714     1.59714    1056.0585     1.59714      1 chain_01/itr_00025_trial_01.rho
     1       26       0.6487      1048.0644      -7.9940      1.59109     1.59109    1048.0644     1.59109      1 chain_01/itr_00026_trial_01.rho
     1       27       0.6375      1062.9611      14.8966      1.60235     1.60235    1048.0644     1.59109      1 chain_01/itr_00027_trial_01.rho
     1       28       0.6266      1117.0817      54.1207      1.64264     1.64264    1048.0644     1.59109      1 chain_01/itr_00028_trial_01.rho
     1       29       0.6158      1138.4680      21.3863      1.65829     1.65829    1048.0644     1.59109      1 chain_01/itr_00029_trial_01.rho
     1       30       0.6053      1112.6148     -25.8532      1.63935     1.63935    1048.0644     1.59109      1 chain_01/itr_00030_trial_01.rho
     1       31       0.5949      1115.6010       2.9862      1.64155     1.64155    1048.0644     1.59109      1 chain_01/itr_00031_trial_01.rho
     1       32       0.5847      1094.2265     -21.3746      1.62575     1.62575    1048.0644     1.59109      1 chain_01/itr_00032_trial_01.rho
     1       33       0.5746      1018.7417     -75.4847      1.56867     1.56867    1018.7417     1.56867      1 chain_01/itr_00033_trial_01.rho
     1       34       0.5648      1023.8511       5.1094      1.57260     1.57260    1018.7417     1.56867      1 chain_01/itr_00034_trial_01.rho
     1       35       0.5551       930.3033     -93.5478      1.49904     1.49904     930.3033     1.49904      1 chain_01/itr_00035_trial_01.rho
     1       36       0.5456       856.6783     -73.6250      1.43850     1.43850     856.6783     1.43850      1 chain_01/itr_00036_trial_01.rho
     1       37       0.5362       797.7163     -58.9621      1.38811     1.38811     797.7163     1.38811      1 chain_01/itr_00037_trial_01.rho
     1       38        0.527       779.1716     -18.5447      1.37188     1.37188     779.1716     1.37188      1 chain_01/itr_00038_trial_01.rho
     1       39       0.5179       766.2905     -12.8811      1.36049     1.36049     766.2905     1.36049      1 chain_01/itr_00039_trial_01.rho
     1       40       0.5091       796.2376      29.9471      1.38682     1.38682     766.2905     1.36049      1 chain_01/itr_00040_trial_01.rho
     1       41       0.5003       807.3781      11.1405      1.39649     1.39649     766.2905     1.36049      1 chain_01/itr_00041_trial_01.rho
     1       42       0.4917       784.4749     -22.9033      1.37654     1.37654     766.2905     1.36049      1 chain_01/itr_00042_trial_01.rho
     1       43       0.4833       803.2056      18.7308      1.39288     1.39288     766.2905     1.36049      1 chain_01/itr_00043_trial_01.rho
     1       44        0.475       788.4754     -14.7303      1.38005     1.38005     766.2905     1.36049      1 chain_01/itr_00044_trial_01.rho
     1       45       0.4668       761.4651     -27.0102      1.35620     1.35620     761.4651     1.35620      1 chain_01/itr_00045_trial_01.rho
     1       46       0.4588       779.3739      17.9088      1.37206     1.37206     761.4651     1.35620      1 chain_01/itr_00046_trial_01.rho
     1       47        0.451       744.1786     -35.1953      1.34072     1.34072     744.1786     1.34072      1 chain_01/itr_00047_trial_01.rho
     1       48       0.4432       714.1406     -30.0381      1.31338     1.31338     714.1406     1.31338      1 chain_01/itr_00048_trial_01.rho
     1       49       0.4356       689.0541     -25.0865      1.29011     1.29011     689.0541     1.29011      1 chain_01/itr_00049_trial_01.rho
     1       50       0.4281       663.9005     -25.1535      1.26634     1.26634     663.9005     1.26634      1 chain_01/itr_00050_trial_01.rho
     1       51       0.4208       662.3477      -1.5528      1.26486     1.26486     662.3477     1.26486      1 chain_01/itr_00051_trial_01.rho
     1       52       0.4136       653.9127      -8.4350      1.25678     1.25678     653.9127     1.25678      1 chain_01/itr_00052_trial_01.rho
     1       53       0.4065       650.3158      -3.5968      1.25332     1.25332     650.3158     1.25332      1 chain_01/itr_00053_trial_01.rho
     1       54       0.3995       613.8184     -36.4974      1.21764     1.21764     613.8184     1.21764      1 chain_01/itr_00054_trial_01.rho
     1       55       0.3926       637.0837      23.2653      1.24050     1.24050     613.8184     1.21764      1 chain_01/itr_00055_trial_01.rho
