# VFSA 2D iteration best - 2026-09-14 18:10:20
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2        1            1     17835.1967    -387.8433      4.60786     4.60786   17835.1967     4.60786      1 chain_02/itr_00001_trial_01.rho
     2        2       0.9828     17922.9951      87.7984      4.61919     4.61919   17835.1967     4.60786      1 chain_02/itr_00002_trial_01.rho
     2        3        0.966     17512.6503    -410.3448      4.56600     4.56600   17512.6503     4.56600      1 chain_02/itr_00003_trial_01.rho
     2        4       0.9494     18163.7546     651.1043      4.65011     4.65011   17512.6503     4.56600      1 chain_02/itr_00004_trial_01.rho
     2        5       0.9331     20591.5157    2427.7611      4.95113     4.95113   17512.6503     4.56600      1 chain_02/itr_00005_trial_01.rho
     2        6       0.9171     21845.2972    1253.7815      5.09964     5.09964   17512.6503     4.56600      1 chain_02/itr_00006_trial_01.rho
     2        7       0.9013     22130.3555     285.0583      5.13280     5.13280   17512.6503     4.56600      1 chain_02/itr_00007_trial_01.rho
     2        8       0.8859     21267.2331    -863.1224      5.03171     5.03171   17512.6503     4.56600      1 chain_02/itr_00008_trial_01.rho
     2        9       0.8707     22127.6424     860.4093      5.13249     5.13249   17512.6503     4.56600      1 chain_02/itr_00009_trial_01.rho
     2       10       0.8557     22127.6424       0.0000      5.13249     5.13249   17512.6503     4.56600      0 -
     2       11        0.841     21958.7604    -168.8820      5.11286     5.11286   17512.6503     4.56600      1 chain_02/itr_00011_trial_01.rho
     2       12       0.8266     23103.7541    1144.9938      5.24447     5.24447   17512.6503     4.56600      1 chain_02/itr_00012_trial_01.rho
     2       13       0.8124     24287.4720    1183.7179      5.37714     5.37714   17512.6503     4.56600      1 chain_02/itr_00013_trial_01.rho
     2       14       0.7985     23721.0336    -566.4384      5.31407     5.31407   17512.6503     4.56600      1 chain_02/itr_00014_trial_01.rho
     2       15       0.7848     24275.6946     554.6610      5.37584     5.37584   17512.6503     4.56600      1 chain_02/itr_00015_trial_01.rho
     2       16       0.7713     24443.0141     167.3195      5.39433     5.39433   17512.6503     4.56600      1 chain_02/itr_00016_trial_01.rho
     2       17       0.7581     24474.5349      31.5208      5.39781     5.39781   17512.6503     4.56600      1 chain_02/itr_00017_trial_01.rho
     2       18        0.745     25582.7011    1108.1662      5.51866     5.51866   17512.6503     4.56600      1 chain_02/itr_00018_trial_01.rho
     2       19       0.7323     22945.4946   -2637.2065      5.22648     5.22648   17512.6503     4.56600      1 chain_02/itr_00019_trial_01.rho
     2       20       0.7197     22875.7119     -69.7827      5.21852     5.21852   17512.6503     4.56600      1 chain_02/itr_00020_trial_01.rho
     2       21       0.7073     21995.6896    -880.0223      5.11716     5.11716   17512.6503     4.56600      1 chain_02/itr_00021_trial_01.rho
     2       22       0.6952     23614.9176    1619.2280      5.30217     5.30217   17512.6503     4.56600      1 chain_02/itr_00022_trial_01.rho
     2       23       0.6833     23614.9176       0.0000      5.30217     5.30217   17512.6503     4.56600      0 -
     2       24       0.6715     22858.2239    -756.6937      5.21653     5.21653   17512.6503     4.56600      1 chain_02/itr_00024_trial_01.rho
     2       25         0.66     23786.2569     928.0330      5.32137     5.32137   17512.6503     4.56600      1 chain_02/itr_00025_trial_01.rho
     2       26       0.6487     22300.5938   -1485.6631      5.15251     5.15251   17512.6503     4.56600      1 chain_02/itr_00026_trial_01.rho
     2       27       0.6375     22929.8902     629.2964      5.22470     5.22470   17512.6503     4.56600      1 chain_02/itr_00027_trial_01.rho
     2       28       0.6266     23370.7267     440.8364      5.27468     5.27468   17512.6503     4.56600      1 chain_02/itr_00028_trial_01.rho
     2       29       0.6158     24808.7231    1437.9964      5.43454     5.43454   17512.6503     4.56600      1 chain_02/itr_00029_trial_01.rho
     2       30       0.6053     24338.9386    -469.7845      5.38284     5.38284   17512.6503     4.56600      1 chain_02/itr_00030_trial_01.rho
     2       31       0.5949     22733.0571   -1605.8815      5.20223     5.20223   17512.6503     4.56600      1 chain_02/itr_00031_trial_01.rho
     2       32       0.5847     23714.7751     981.7179      5.31337     5.31337   17512.6503     4.56600      1 chain_02/itr_00032_trial_01.rho
     2       33       0.5746     22314.5302   -1400.2448      5.15412     5.15412   17512.6503     4.56600      1 chain_02/itr_00033_trial_01.rho
     2       34       0.5648     23353.8084    1039.2782      5.27277     5.27277   17512.6503     4.56600      1 chain_02/itr_00034_trial_01.rho
