# VFSA 2D iteration best - 2026-09-14 17:42:58
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2        1            1    832048.5343   63926.4347     31.47275    31.47275  768122.0996    30.23956      1 chain_02/itr_00001_trial_01.rho
     2        2       0.9828    810697.4775  -21351.0569     31.06632    31.06632  768122.0996    30.23956      1 chain_02/itr_00002_trial_01.rho
     2        3        0.966    910072.4622   99374.9848     32.91534    32.91534  768122.0996    30.23956      1 chain_02/itr_00003_trial_01.rho
     2        4       0.9494    959418.3427   49345.8804     33.79593    33.79593  768122.0996    30.23956      1 chain_02/itr_00004_trial_01.rho
     2        5       0.9331   1049966.5690   90548.2263     35.35478    35.35478  768122.0996    30.23956      1 chain_02/itr_00005_trial_01.rho
     2        6       0.9171    996036.1118  -53930.4572     34.43483    34.43483  768122.0996    30.23956      1 chain_02/itr_00006_trial_01.rho
     2        7       0.9013    995497.6652    -538.4466     34.42552    34.42552  768122.0996    30.23956      1 chain_02/itr_00007_trial_01.rho
     2        8       0.8859   1061967.0677   66469.4026     35.55624    35.55624  768122.0996    30.23956      1 chain_02/itr_00008_trial_01.rho
     2        9       0.8707   1061967.0677       0.0000     35.55624    35.55624  768122.0996    30.23956      0 -
     2       10       0.8557   1059928.8863   -2038.1814     35.52211    35.52211  768122.0996    30.23956      1 chain_02/itr_00010_trial_01.rho
     2       11        0.841   1072782.5303   12853.6441     35.73684    35.73684  768122.0996    30.23956      1 chain_02/itr_00011_trial_01.rho
     2       12       0.8266    808817.0354 -263965.4949     31.03027    31.03027  768122.0996    30.23956      1 chain_02/itr_00012_trial_01.rho
     2       13       0.8124    581100.8762 -227716.1592     26.30184    26.30184  581100.8762    26.30184      1 chain_02/itr_00013_trial_01.rho
     2       14       0.7985    570894.8874  -10205.9888     26.06984    26.06984  570894.8874    26.06984      1 chain_02/itr_00014_trial_01.rho
     2       15       0.7848    655449.7525   84554.8651     27.93380    27.93380  570894.8874    26.06984      1 chain_02/itr_00015_trial_01.rho
     2       16       0.7713    662127.3850    6677.6325     28.07573    28.07573  570894.8874    26.06984      1 chain_02/itr_00016_trial_01.rho
     2       17       0.7581    601905.2263  -60222.1586     26.76852    26.76852  570894.8874    26.06984      1 chain_02/itr_00017_trial_01.rho
     2       18        0.745    671467.7089   69562.4826     28.27307    28.27307  570894.8874    26.06984      1 chain_02/itr_00018_trial_01.rho
     2       19       0.7323    546605.1006 -124862.6082     25.50922    25.50922  546605.1006    25.50922      1 chain_02/itr_00019_trial_01.rho
     2       20       0.7197    608324.3306   61719.2299     26.91088    26.91088  546605.1006    25.50922      1 chain_02/itr_00020_trial_01.rho
     2       21       0.7073    510738.0123  -97586.3182     24.65809    24.65809  510738.0123    24.65809      1 chain_02/itr_00021_trial_01.rho
     2       22       0.6952    510738.0123       0.0000     24.65809    24.65809  510738.0123    24.65809      0 -
     2       23       0.6833    471225.9616  -39512.0507     23.68509    23.68509  471225.9616    23.68509      1 chain_02/itr_00023_trial_01.rho
     2       24       0.6715    389208.1225  -82017.8391     21.52540    21.52540  389208.1225    21.52540      1 chain_02/itr_00024_trial_01.rho
     2       25         0.66    409041.4272   19833.3047     22.06704    22.06704  389208.1225    21.52540      1 chain_02/itr_00025_trial_01.rho
     2       26       0.6487    398967.4201  -10074.0070     21.79360    21.79360  389208.1225    21.52540      1 chain_02/itr_00026_trial_01.rho
     2       27       0.6375    307204.2910  -91763.1291     19.12379    19.12379  307204.2910    19.12379      1 chain_02/itr_00027_trial_01.rho
     2       28       0.6266    377561.7951   70357.5041     21.20090    21.20090  307204.2910    19.12379      1 chain_02/itr_00028_trial_01.rho
     2       29       0.6158    419771.7152   42209.9201     22.35460    22.35460  307204.2910    19.12379      1 chain_02/itr_00029_trial_01.rho
     2       30       0.6053    419771.7152       0.0000     22.35460    22.35460  307204.2910    19.12379      0 -
     2       31       0.5949    369805.2911  -49966.4241     20.98200    20.98200  307204.2910    19.12379      1 chain_02/itr_00031_trial_01.rho
     2       32       0.5847    396147.0922   26341.8011     21.71644    21.71644  307204.2910    19.12379      1 chain_02/itr_00032_trial_01.rho
     2       33       0.5746    380245.9431  -15901.1490     21.27613    21.27613  307204.2910    19.12379      1 chain_02/itr_00033_trial_01.rho
     2       34       0.5648    376621.2261   -3624.7171     21.17448    21.17448  307204.2910    19.12379      1 chain_02/itr_00034_trial_01.rho
     2       35       0.5551    407897.7260   31276.4999     22.03616    22.03616  307204.2910    19.12379      1 chain_02/itr_00035_trial_01.rho
     2       36       0.5456    366298.1651  -41599.5608     20.88227    20.88227  307204.2910    19.12379      1 chain_02/itr_00036_trial_01.rho
     2       37       0.5362    389337.2842   23039.1190     21.52898    21.52898  307204.2910    19.12379      1 chain_02/itr_00037_trial_01.rho
     2       38        0.527    389337.2842       0.0000     21.52898    21.52898  307204.2910    19.12379      0 -
     2       39       0.5179    323658.5691  -65678.7151     19.62926    19.62926  307204.2910    19.12379      1 chain_02/itr_00039_trial_01.rho
     2       40       0.5091    270315.7720  -53342.7971     17.93891    17.93891  270315.7720    17.93891      1 chain_02/itr_00040_trial_01.rho
     2       41       0.5003    222820.2829  -47495.4891     16.28687    16.28687  222820.2829    16.28687      1 chain_02/itr_00041_trial_01.rho
     2       42       0.4917    197191.9506  -25628.3322     15.32163    15.32163  197191.9506    15.32163      1 chain_02/itr_00042_trial_01.rho
     2       43       0.4833    184611.1581  -12580.7925     14.82482    14.82482  184611.1581    14.82482      1 chain_02/itr_00043_trial_01.rho
     2       44        0.475    160457.0532  -24154.1049     13.82101    13.82101  160457.0532    13.82101      1 chain_02/itr_00044_trial_01.rho
     2       45       0.4668    149594.6401  -10862.4131     13.34499    13.34499  149594.6401    13.34499      1 chain_02/itr_00045_trial_01.rho
     2       46       0.4588    150295.6774     701.0373     13.37623    13.37623  149594.6401    13.34499      1 chain_02/itr_00046_trial_01.rho
     2       47        0.451    152485.9297    2190.2523     13.47334    13.47334  149594.6401    13.34499      1 chain_02/itr_00047_trial_01.rho
     2       48       0.4432    142369.9723  -10115.9574     13.01876    13.01876  142369.9723    13.01876      1 chain_02/itr_00048_trial_01.rho
     2       49       0.4356    148509.2427    6139.2704     13.29649    13.29649  142369.9723    13.01876      1 chain_02/itr_00049_trial_01.rho
     2       50       0.4281    148509.2427       0.0000     13.29649    13.29649  142369.9723    13.01876      0 -
     2       51       0.4208    143569.1704   -4940.0723     13.07347    13.07347  142369.9723    13.01876      1 chain_02/itr_00051_trial_01.rho
     2       52       0.4136    124658.0619  -18911.1085     12.18205    12.18205  124658.0619    12.18205      1 chain_02/itr_00052_trial_01.rho
     2       53       0.4065    121864.5908   -2793.4711     12.04479    12.04479  121864.5908    12.04479      1 chain_02/itr_00053_trial_01.rho
     2       54       0.3995    105082.6973  -16781.8935     11.18474    11.18474  105082.6973    11.18474      1 chain_02/itr_00054_trial_01.rho
     2       55       0.3926    105082.6973       0.0000     11.18474    11.18474  105082.6973    11.18474      0 -
     2       56       0.3859    104954.3832    -128.3141     11.17791    11.17791  104954.3832    11.17791      1 chain_02/itr_00056_trial_01.rho
     2       57       0.3793    100678.8348   -4275.5485     10.94787    10.94787  100678.8348    10.94787      1 chain_02/itr_00057_trial_01.rho
     2       58       0.3728     97987.5912   -2691.2436     10.80055    10.80055   97987.5912    10.80055      1 chain_02/itr_00058_trial_01.rho
     2       59       0.3664     94849.6271   -3137.9641     10.62620    10.62620   94849.6271    10.62620      1 chain_02/itr_00059_trial_01.rho
     2       60       0.3601    100423.6989    5574.0718     10.93398    10.93398   94849.6271    10.62620      1 chain_02/itr_00060_trial_01.rho
     2       61       0.3539    105931.0225    5507.3236     11.22980    11.22980   94849.6271    10.62620      1 chain_02/itr_00061_trial_01.rho
     2       62       0.3478     91032.1230  -14898.8996     10.41017    10.41017   91032.1230    10.41017      1 chain_02/itr_00062_trial_01.rho
     2       63       0.3418     89789.2337   -1242.8893     10.33886    10.33886   89789.2337    10.33886      1 chain_02/itr_00063_trial_01.rho
     2       64        0.336     89322.9485    -466.2852     10.31198    10.31198   89322.9485    10.31198      1 chain_02/itr_00064_trial_01.rho
     2       65       0.3302     89322.9485       0.0000     10.31198    10.31198   89322.9485    10.31198      0 -
     2       66       0.3245     89049.2328    -273.7157     10.29616    10.29616   89049.2328    10.29616      1 chain_02/itr_00066_trial_01.rho
     2       67        0.319     89067.2777      18.0450     10.29721    10.29721   89049.2328    10.29616      1 chain_02/itr_00067_trial_01.rho
