# VFSA 2D iteration best - 2026-09-14 17:40:40
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
     1       47        0.451    187322.5317  -21474.5876     14.93329    14.93329  187322.5317    14.93329      1 chain_01/itr_00047_trial_01.rho
     1       48       0.4432    171291.1084  -16031.4234     14.27999    14.27999  171291.1084    14.27999      1 chain_01/itr_00048_trial_01.rho
     1       49       0.4356    133201.2394  -38089.8689     12.59257    12.59257  133201.2394    12.59257      1 chain_01/itr_00049_trial_01.rho
     1       50       0.4281    140705.5096    7504.2702     12.94243    12.94243  133201.2394    12.59257      1 chain_01/itr_00050_trial_01.rho
     1       51       0.4208    130550.9112  -10154.5984     12.46667    12.46667  130550.9112    12.46667      1 chain_01/itr_00051_trial_01.rho
     1       52       0.4136    158413.8619   27862.9507     13.73273    13.73273  130550.9112    12.46667      1 chain_01/itr_00052_trial_01.rho
     1       53       0.4065    156578.1924   -1835.6695     13.65293    13.65293  130550.9112    12.46667      1 chain_01/itr_00053_trial_01.rho
     1       54       0.3995    185776.8874   29198.6950     14.87155    14.87155  130550.9112    12.46667      1 chain_01/itr_00054_trial_01.rho
     1       55       0.3926    185776.8874       0.0000     14.87155    14.87155  130550.9112    12.46667      0 -
     1       56       0.3859    175604.5644  -10172.3230     14.45867    14.45867  130550.9112    12.46667      1 chain_01/itr_00056_trial_01.rho
     1       57       0.3793    175604.5644       0.0000     14.45867    14.45867  130550.9112    12.46667      0 -
     1       58       0.3728    200518.1993   24913.6349     15.45031    15.45031  130550.9112    12.46667      1 chain_01/itr_00058_trial_01.rho
     1       59       0.3664    211239.1345   10720.9352     15.85797    15.85797  130550.9112    12.46667      1 chain_01/itr_00059_trial_01.rho
     1       60       0.3601    171736.0767  -39503.0578     14.29852    14.29852  130550.9112    12.46667      1 chain_01/itr_00060_trial_01.rho
     1       61       0.3539    154748.7009  -16987.3758     13.57294    13.57294  130550.9112    12.46667      1 chain_01/itr_00061_trial_01.rho
     1       62       0.3478    120958.7916  -33789.9093     11.99994    11.99994  120958.7916    11.99994      1 chain_01/itr_00062_trial_01.rho
     1       63       0.3418    107355.8277  -13602.9639     11.30507    11.30507  107355.8277    11.30507      1 chain_01/itr_00063_trial_01.rho
     1       64        0.336    104413.2117   -2942.6160     11.14906    11.14906  104413.2117    11.14906      1 chain_01/itr_00064_trial_01.rho
     1       65       0.3302     99610.1764   -4803.0353     10.88961    10.88961   99610.1764    10.88961      1 chain_01/itr_00065_trial_01.rho
     1       66       0.3245    100337.6777     727.5013     10.92930    10.92930   99610.1764    10.88961      1 chain_01/itr_00066_trial_01.rho
     1       67        0.319    101773.6860    1436.0083     11.00723    11.00723   99610.1764    10.88961      1 chain_01/itr_00067_trial_01.rho
     1       68       0.3135     96697.0206   -5076.6654     10.72919    10.72919   96697.0206    10.72919      1 chain_01/itr_00068_trial_01.rho
     1       69       0.3081     96697.0206       0.0000     10.72919    10.72919   96697.0206    10.72919      0 -
     1       70       0.3028     98054.8885    1357.8679     10.80426    10.80426   96697.0206    10.72919      1 chain_01/itr_00070_trial_01.rho
     1       71       0.2976    124029.0437   25974.1553     12.15128    12.15128   96697.0206    10.72919      1 chain_01/itr_00071_trial_01.rho
     1       72       0.2925    118064.0881   -5964.9556     11.85548    11.85548   96697.0206    10.72919      1 chain_01/itr_00072_trial_01.rho
     1       73       0.2875    132134.1540   14070.0659     12.54203    12.54203   96697.0206    10.72919      1 chain_01/itr_00073_trial_01.rho
     1       74       0.2826    143107.9357   10973.7817     13.05246    13.05246   96697.0206    10.72919      1 chain_01/itr_00074_trial_01.rho
     1       75       0.2777    143107.9357       0.0000     13.05246    13.05246   96697.0206    10.72919      0 -
     1       76        0.273    137720.4786   -5387.4571     12.80441    12.80441   96697.0206    10.72919      1 chain_01/itr_00076_trial_01.rho
     1       77       0.2683    125093.1927  -12627.2859     12.20330    12.20330   96697.0206    10.72919      1 chain_01/itr_00077_trial_01.rho
     1       78       0.2637    124513.6447    -579.5480     12.17500    12.17500   96697.0206    10.72919      1 chain_01/itr_00078_trial_01.rho
     1       79       0.2591    116978.9173   -7534.7274     11.80087    11.80087   96697.0206    10.72919      1 chain_01/itr_00079_trial_01.rho
     1       80       0.2547    128067.9703   11089.0530     12.34755    12.34755   96697.0206    10.72919      1 chain_01/itr_00080_trial_01.rho
     1       81       0.2503    128067.9703       0.0000     12.34755    12.34755   96697.0206    10.72919      0 -
     1       82        0.246    141505.8492   13437.8789     12.97919    12.97919   96697.0206    10.72919      1 chain_01/itr_00082_trial_01.rho
     1       83       0.2418    148813.0773    7307.2281     13.31009    13.31009   96697.0206    10.72919      1 chain_01/itr_00083_trial_01.rho
     1       84       0.2377    144776.1534   -4036.9239     13.12831    13.12831   96697.0206    10.72919      1 chain_01/itr_00084_trial_01.rho
     1       85       0.2336    137199.0291   -7577.1243     12.78015    12.78015   96697.0206    10.72919      1 chain_01/itr_00085_trial_01.rho
     1       86       0.2296    135758.4823   -1440.5468     12.71288    12.71288   96697.0206    10.72919      1 chain_01/itr_00086_trial_01.rho
     1       87       0.2256    135758.4823       0.0000     12.71288    12.71288   96697.0206    10.72919      0 -
     1       88       0.2218    132107.8122   -3650.6701     12.54078    12.54078   96697.0206    10.72919      1 chain_01/itr_00088_trial_01.rho
     1       89       0.2179    137206.2998    5098.4876     12.78049    12.78049   96697.0206    10.72919      1 chain_01/itr_00089_trial_01.rho
     1       90       0.2142    146960.7650    9754.4653     13.22699    13.22699   96697.0206    10.72919      1 chain_01/itr_00090_trial_01.rho
     1       91       0.2105    132696.7399  -14264.0251     12.56870    12.56870   96697.0206    10.72919      1 chain_01/itr_00091_trial_01.rho
     1       92       0.2069    136479.1578    3782.4179     12.74658    12.74658   96697.0206    10.72919      1 chain_01/itr_00092_trial_01.rho
     1       93       0.2034    150679.3997   14200.2418     13.39329    13.39329   96697.0206    10.72919      1 chain_01/itr_00093_trial_01.rho
     1       94       0.1999    169557.7422   18878.3425     14.20755    14.20755   96697.0206    10.72919      1 chain_01/itr_00094_trial_01.rho
     1       95       0.1964    173959.8789    4402.1367     14.39080    14.39080   96697.0206    10.72919      1 chain_01/itr_00095_trial_01.rho
     1       96       0.1931    193491.8615   19531.9826     15.17720    15.17720   96697.0206    10.72919      1 chain_01/itr_00096_trial_01.rho
     1       97       0.1898    193491.8615       0.0000     15.17720    15.17720   96697.0206    10.72919      0 -
     1       98       0.1865    193491.8615       0.0000     15.17720    15.17720   96697.0206    10.72919      0 -
     1       99       0.1833    167123.4222  -26368.4392     14.10519    14.10519   96697.0206    10.72919      1 chain_01/itr_00099_trial_01.rho
     1      100       0.1802    167123.4222       0.0000     14.10519    14.10519   96697.0206    10.72919      0 -
     1      101       0.1771    167123.4222       0.0000     14.10519    14.10519   96697.0206    10.72919      0 -
     1      102        0.174    200156.7231   33033.3009     15.43638    15.43638   96697.0206    10.72919      1 chain_01/itr_00102_trial_01.rho
     1      103        0.171    200156.7231       0.0000     15.43638    15.43638   96697.0206    10.72919      0 -
     1      104       0.1681    163266.1596  -36890.5635     13.94147    13.94147   96697.0206    10.72919      1 chain_01/itr_00104_trial_01.rho
     1      105       0.1652    173444.3272   10178.1676     14.36946    14.36946   96697.0206    10.72919      1 chain_01/itr_00105_trial_01.rho
     1      106       0.1624    164834.9707   -8609.3564     14.00829    14.00829   96697.0206    10.72919      1 chain_01/itr_00106_trial_01.rho
     1      107       0.1596    172883.3644    8048.3937     14.34620    14.34620   96697.0206    10.72919      1 chain_01/itr_00107_trial_01.rho
     1      108       0.1569    176019.7918    3136.4274     14.47575    14.47575   96697.0206    10.72919      1 chain_01/itr_00108_trial_01.rho
     1      109       0.1542    177723.3749    1703.5831     14.54563    14.54563   96697.0206    10.72919      1 chain_01/itr_00109_trial_01.rho
     1      110       0.1515    155154.5110  -22568.8639     13.59072    13.59072   96697.0206    10.72919      1 chain_01/itr_00110_trial_01.rho
     1      111       0.1489    164656.3092    9501.7982     14.00069    14.00069   96697.0206    10.72919      1 chain_01/itr_00111_trial_01.rho
     1      112       0.1464    184790.4095   20134.1003     14.83201    14.83201   96697.0206    10.72919      1 chain_01/itr_00112_trial_01.rho
     1      113       0.1438    192995.0260    8204.6165     15.15770    15.15770   96697.0206    10.72919      1 chain_01/itr_00113_trial_01.rho
     1      114       0.1414    196484.4708    3489.4448     15.29412    15.29412   96697.0206    10.72919      1 chain_01/itr_00114_trial_01.rho
     1      115       0.1389    196484.4708       0.0000     15.29412    15.29412   96697.0206    10.72919      0 -
     1      116       0.1366    196484.4708       0.0000     15.29412    15.29412   96697.0206    10.72919      0 -
     1      117       0.1342    196484.4708       0.0000     15.29412    15.29412   96697.0206    10.72919      0 -
     1      118       0.1319    196484.4708       0.0000     15.29412    15.29412   96697.0206    10.72919      0 -
     1      119       0.1297    181542.7996  -14941.6712     14.70110    14.70110   96697.0206    10.72919      1 chain_01/itr_00119_trial_01.rho
     1      120       0.1274    181542.7996       0.0000     14.70110    14.70110   96697.0206    10.72919      0 -
     1      121       0.1252    167184.9765  -14357.8231     14.10779    14.10779   96697.0206    10.72919      1 chain_01/itr_00121_trial_01.rho
     1      122       0.1231    167184.9765       0.0000     14.10779    14.10779   96697.0206    10.72919      0 -
     1      123        0.121    201057.2701   33872.2937     15.47107    15.47107   96697.0206    10.72919      1 chain_01/itr_00123_trial_01.rho
     1      124       0.1189    190178.5890  -10878.6812     15.04670    15.04670   96697.0206    10.72919      1 chain_01/itr_00124_trial_01.rho
     1      125       0.1169    213676.6221   23498.0332     15.94920    15.94920   96697.0206    10.72919      1 chain_01/itr_00125_trial_01.rho
     1      126       0.1149    236518.5463   22841.9241     16.78004    16.78004   96697.0206    10.72919      1 chain_01/itr_00126_trial_01.rho
     1      127       0.1129    196887.7897  -39630.7566     15.30981    15.30981   96697.0206    10.72919      1 chain_01/itr_00127_trial_01.rho
     1      128       0.1109    196887.7897       0.0000     15.30981    15.30981   96697.0206    10.72919      0 -
     1      129        0.109    196596.6375    -291.1522     15.29848    15.29848   96697.0206    10.72919      1 chain_01/itr_00129_trial_01.rho
     1      130       0.1072    177559.5130  -19037.1245     14.53893    14.53893   96697.0206    10.72919      1 chain_01/itr_00130_trial_01.rho
     1      131       0.1053    164626.7979  -12932.7151     13.99944    13.99944   96697.0206    10.72919      1 chain_01/itr_00131_trial_01.rho
     1      132       0.1035    160129.9698   -4496.8281     13.80692    13.80692   96697.0206    10.72919      1 chain_01/itr_00132_trial_01.rho
     1      133       0.1017    160129.9698       0.0000     13.80692    13.80692   96697.0206    10.72919      0 -
