# VFSA 2D iteration best - 2026-09-15 00:25:55
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
     1       47       0.6719    133170.5954       0.0000     12.59112    12.59112  133170.5954    12.59112      0 -
     1       48       0.6661    146454.3526   13283.7572     13.20418    13.20418  133170.5954    12.59112      1 chain_01/itr_00048_trial_01.rho
     1       49       0.6604    143991.7284   -2462.6242     13.09270    13.09270  133170.5954    12.59112      1 chain_01/itr_00049_trial_01.rho
     1       50       0.6547    148865.3265    4873.5981     13.31242    13.31242  133170.5954    12.59112      1 chain_01/itr_00050_trial_01.rho
     1       51        0.649    143580.6331   -5284.6934     13.07399    13.07399  133170.5954    12.59112      1 chain_01/itr_00051_trial_01.rho
     1       52       0.6434    152871.2135    9290.5804     13.49035    13.49035  133170.5954    12.59112      1 chain_01/itr_00052_trial_01.rho
     1       53       0.6379    158395.9142    5524.7007     13.73195    13.73195  133170.5954    12.59112      1 chain_01/itr_00053_trial_01.rho
     1       54       0.6324    167638.6299    9242.7157     14.12692    14.12692  133170.5954    12.59112      1 chain_01/itr_00054_trial_01.rho
     1       55        0.627    161869.4176   -5769.2123     13.88170    13.88170  133170.5954    12.59112      1 chain_01/itr_00055_trial_01.rho
     1       56       0.6216    139709.9230  -22159.4946     12.89656    12.89656  133170.5954    12.59112      1 chain_01/itr_00056_trial_01.rho
     1       57       0.6162    174140.7765   34430.8535     14.39828    14.39828  133170.5954    12.59112      1 chain_01/itr_00057_trial_01.rho
     1       58       0.6109    174114.4522     -26.3244     14.39719    14.39719  133170.5954    12.59112      1 chain_01/itr_00058_trial_01.rho
     1       59       0.6057    199769.5002   25655.0481     15.42144    15.42144  133170.5954    12.59112      1 chain_01/itr_00059_trial_01.rho
     1       60       0.6004    214314.6591   14545.1589     15.97299    15.97299  133170.5954    12.59112      1 chain_01/itr_00060_trial_01.rho
