# VFSA 2D iteration best - 2026-09-15 00:42:25
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1        1            1    772526.1736    2464.1950     30.32613    30.32613  770061.9786    30.27772      1 chain_01/itr_00001_trial_01.rho
     1        2       0.9977    826932.9330   54406.7593     31.37585    31.37585  770061.9786    30.27772      1 chain_01/itr_00002_trial_01.rho
     1        3       0.9954   1124252.9658  297320.0328     36.58410    36.58410  770061.9786    30.27772      1 chain_01/itr_00003_trial_01.rho
     1        4       0.9931   1151825.4429   27572.4772     37.03000    37.03000  770061.9786    30.27772      1 chain_01/itr_00004_trial_01.rho
     1        5       0.9908    930540.1290 -221285.3139     33.28342    33.28342  770061.9786    30.27772      1 chain_01/itr_00005_trial_01.rho
     1        6       0.9885   1022430.9298   91890.8007     34.88810    34.88810  770061.9786    30.27772      1 chain_01/itr_00006_trial_01.rho
     1        7       0.9863    963242.6245  -59188.3053     33.86322    33.86322  770061.9786    30.27772      1 chain_01/itr_00007_trial_01.rho
     1        8        0.984    899883.0254  -63359.5991     32.73056    32.73056  770061.9786    30.27772      1 chain_01/itr_00008_trial_01.rho
     1        9       0.9817    781620.2179 -118262.8075     30.50410    30.50410  770061.9786    30.27772      1 chain_01/itr_00009_trial_01.rho
     1       10       0.9795    817391.5707   35771.3528     31.19431    31.19431  770061.9786    30.27772      1 chain_01/itr_00010_trial_01.rho
     1       11       0.9772    837755.6391   20364.0684     31.58050    31.58050  770061.9786    30.27772      1 chain_01/itr_00011_trial_01.rho
     1       12        0.975    723215.8985 -114539.7406     29.34231    29.34231  723215.8985    29.34231      1 chain_01/itr_00012_trial_01.rho
     1       13       0.9727    714692.4062   -8523.4923     29.16889    29.16889  714692.4062    29.16889      1 chain_01/itr_00013_trial_01.rho
     1       14       0.9705    787082.8475   72390.4413     30.61051    30.61051  714692.4062    29.16889      1 chain_01/itr_00014_trial_01.rho
     1       15       0.9683    543750.8675 -243331.9800     25.44253    25.44253  543750.8675    25.44253      1 chain_01/itr_00015_trial_01.rho
     1       16        0.966    614878.1913   71127.3237     27.05546    27.05546  543750.8675    25.44253      1 chain_01/itr_00016_trial_01.rho
     1       17       0.9638    556561.9809  -58316.2103     25.74051    25.74051  543750.8675    25.44253      1 chain_01/itr_00017_trial_01.rho
     1       18       0.9616    539389.7246  -17172.2563     25.34030    25.34030  539389.7246    25.34030      1 chain_01/itr_00018_trial_01.rho
     1       19       0.9594    554926.6108   15536.8862     25.70266    25.70266  539389.7246    25.34030      1 chain_01/itr_00019_trial_01.rho
     1       20       0.9572    427266.0557 -127660.5551     22.55327    22.55327  427266.0557    22.55327      1 chain_01/itr_00020_trial_01.rho
     1       21        0.955    419905.2204   -7360.8352     22.35816    22.35816  419905.2204    22.35816      1 chain_01/itr_00021_trial_01.rho
     1       22       0.9528    440447.9419   20542.7214     22.89853    22.89853  419905.2204    22.35816      1 chain_01/itr_00022_trial_01.rho
     1       23       0.9506    378071.1703  -62376.7716     21.21520    21.21520  378071.1703    21.21520      1 chain_01/itr_00023_trial_01.rho
     1       24       0.9484    348685.0438  -29386.1265     20.37403    20.37403  348685.0438    20.37403      1 chain_01/itr_00024_trial_01.rho
     1       25       0.9462    356079.1614    7394.1176     20.58892    20.58892  348685.0438    20.37403      1 chain_01/itr_00025_trial_01.rho
     1       26        0.944    307418.6674  -48660.4940     19.13046    19.13046  307418.6674    19.13046      1 chain_01/itr_00026_trial_01.rho
     1       27       0.9419    324540.8848   17122.2173     19.65600    19.65600  307418.6674    19.13046      1 chain_01/itr_00027_trial_01.rho
     1       28       0.9397    342253.6270   17712.7422     20.18526    20.18526  307418.6674    19.13046      1 chain_01/itr_00028_trial_01.rho
     1       29       0.9375    324415.4715  -17838.1555     19.65220    19.65220  307418.6674    19.13046      1 chain_01/itr_00029_trial_01.rho
     1       30       0.9354    295525.4568  -28890.0147     18.75676    18.75676  295525.4568    18.75676      1 chain_01/itr_00030_trial_01.rho
     1       31       0.9332    286349.5962   -9175.8606     18.46327    18.46327  286349.5962    18.46327      1 chain_01/itr_00031_trial_01.rho
     1       32       0.9311    288936.3763    2586.7801     18.54648    18.54648  286349.5962    18.46327      1 chain_01/itr_00032_trial_01.rho
     1       33       0.9289    265499.6310  -23436.7453     17.77839    17.77839  265499.6310    17.77839      1 chain_01/itr_00033_trial_01.rho
     1       34       0.9268    241106.6911  -24392.9400     16.94201    16.94201  241106.6911    16.94201      1 chain_01/itr_00034_trial_01.rho
     1       35       0.9247    238612.6503   -2494.0408     16.85416    16.85416  238612.6503    16.85416      1 chain_01/itr_00035_trial_01.rho
     1       36       0.9225    196380.0563  -42232.5940     15.29005    15.29005  196380.0563    15.29005      1 chain_01/itr_00036_trial_01.rho
     1       37       0.9204    177580.5755  -18799.4808     14.53979    14.53979  177580.5755    14.53979      1 chain_01/itr_00037_trial_01.rho
