# VFSA 2D iteration best - 2026-09-14 18:08:14
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2        1            1    788153.0801   18942.7068     30.63132    30.63132  769210.3732    30.26098      1 chain_02/itr_00001_trial_01.rho
     2        2       0.9828    702772.8662  -85380.2139     28.92463    28.92463  702772.8662    28.92463      1 chain_02/itr_00002_trial_01.rho
     2        3        0.966    709838.4367    7065.5705     29.06967    29.06967  702772.8662    28.92463      1 chain_02/itr_00003_trial_01.rho
     2        4       0.9494    757557.7823   47719.3456     30.03089    30.03089  702772.8662    28.92463      1 chain_02/itr_00004_trial_01.rho
     2        5       0.9331    695391.0546  -62166.7277     28.77232    28.77232  695391.0546    28.77232      1 chain_02/itr_00005_trial_01.rho
     2        6       0.9171    696753.1147    1362.0601     28.80049    28.80049  695391.0546    28.77232      1 chain_02/itr_00006_trial_01.rho
     2        7       0.9013    807501.4991  110748.3844     31.00502    31.00502  695391.0546    28.77232      1 chain_02/itr_00007_trial_01.rho
     2        8       0.8859    869571.0855   62069.5864     32.17458    32.17458  695391.0546    28.77232      1 chain_02/itr_00008_trial_01.rho
     2        9       0.8707    730525.0872 -139045.9983     29.49021    29.49021  695391.0546    28.77232      1 chain_02/itr_00009_trial_01.rho
     2       10       0.8557    693371.3229  -37153.7643     28.73051    28.73051  693371.3229    28.73051      1 chain_02/itr_00010_trial_01.rho
     2       11        0.841    692918.3316    -452.9913     28.72112    28.72112  692918.3316    28.72112      1 chain_02/itr_00011_trial_01.rho
     2       12       0.8266    583195.7212 -109722.6104     26.34921    26.34921  583195.7212    26.34921      1 chain_02/itr_00012_trial_01.rho
     2       13       0.8124    537299.7792  -45895.9419     25.29116    25.29116  537299.7792    25.29116      1 chain_02/itr_00013_trial_01.rho
     2       14       0.7985    534693.4811   -2606.2981     25.22974    25.22974  534693.4811    25.22974      1 chain_02/itr_00014_trial_01.rho
     2       15       0.7848    500713.9721  -33979.5090     24.41491    24.41491  500713.9721    24.41491      1 chain_02/itr_00015_trial_01.rho
     2       16       0.7713    564282.2657   63568.2936     25.91842    25.91842  500713.9721    24.41491      1 chain_02/itr_00016_trial_01.rho
     2       17       0.7581    501510.3906  -62771.8751     24.43432    24.43432  500713.9721    24.41491      1 chain_02/itr_00017_trial_01.rho
     2       18        0.745    523317.5242   21807.1336     24.95991    24.95991  500713.9721    24.41491      1 chain_02/itr_00018_trial_01.rho
     2       19       0.7323    580623.1920   57305.6678     26.29103    26.29103  500713.9721    24.41491      1 chain_02/itr_00019_trial_01.rho
     2       20       0.7197    596914.3658   16291.1738     26.65731    26.65731  500713.9721    24.41491      1 chain_02/itr_00020_trial_01.rho
     2       21       0.7073    728534.5936  131620.2278     29.45001    29.45001  500713.9721    24.41491      1 chain_02/itr_00021_trial_01.rho
     2       22       0.6952    728534.5936       0.0000     29.45001    29.45001  500713.9721    24.41491      0 -
     2       23       0.6833    724104.1757   -4430.4180     29.36033    29.36033  500713.9721    24.41491      1 chain_02/itr_00023_trial_01.rho
     2       24       0.6715    571252.6128 -152851.5629     26.07801    26.07801  500713.9721    24.41491      1 chain_02/itr_00024_trial_01.rho
     2       25         0.66    623394.0261   52141.4134     27.24217    27.24217  500713.9721    24.41491      1 chain_02/itr_00025_trial_01.rho
     2       26       0.6487    462944.3153 -160449.7108     23.47603    23.47603  462944.3153    23.47603      1 chain_02/itr_00026_trial_01.rho
     2       27       0.6375    441462.1534  -21482.1619     22.92488    22.92488  441462.1534    22.92488      1 chain_02/itr_00027_trial_01.rho
     2       28       0.6266    494247.1151   52784.9617     24.25674    24.25674  441462.1534    22.92488      1 chain_02/itr_00028_trial_01.rho
     2       29       0.6158    531881.6060   37634.4908     25.16331    25.16331  441462.1534    22.92488      1 chain_02/itr_00029_trial_01.rho
     2       30       0.6053    514760.4352  -17121.1708     24.75500    24.75500  441462.1534    22.92488      1 chain_02/itr_00030_trial_01.rho
     2       31       0.5949    493372.5320  -21387.9032     24.23527    24.23527  441462.1534    22.92488      1 chain_02/itr_00031_trial_01.rho
     2       32       0.5847    533287.3044   39914.7724     25.19654    25.19654  441462.1534    22.92488      1 chain_02/itr_00032_trial_01.rho
     2       33       0.5746    524900.2786   -8387.0258     24.99763    24.99763  441462.1534    22.92488      1 chain_02/itr_00033_trial_01.rho
     2       34       0.5648    604145.9668   79245.6882     26.81830    26.81830  441462.1534    22.92488      1 chain_02/itr_00034_trial_01.rho
     2       35       0.5551    648364.9137   44218.9469     27.78242    27.78242  441462.1534    22.92488      1 chain_02/itr_00035_trial_01.rho
     2       36       0.5456    621831.6721  -26533.2416     27.20801    27.20801  441462.1534    22.92488      1 chain_02/itr_00036_trial_01.rho
     2       37       0.5362    658254.6220   36422.9499     27.99351    27.99351  441462.1534    22.92488      1 chain_02/itr_00037_trial_01.rho
     2       38        0.527    542728.6595 -115525.9625     25.41861    25.41861  441462.1534    22.92488      1 chain_02/itr_00038_trial_01.rho
     2       39       0.5179    458003.7912  -84724.8683     23.35043    23.35043  441462.1534    22.92488      1 chain_02/itr_00039_trial_01.rho
     2       40       0.5091    399240.5396  -58763.2516     21.80106    21.80106  399240.5396    21.80106      1 chain_02/itr_00040_trial_01.rho
     2       41       0.5003    384205.3496  -15035.1900     21.38662    21.38662  384205.3496    21.38662      1 chain_02/itr_00041_trial_01.rho
     2       42       0.4917    508756.4406  124551.0910     24.61021    24.61021  384205.3496    21.38662      1 chain_02/itr_00042_trial_01.rho
     2       43       0.4833    463930.1857  -44826.2549     23.50102    23.50102  384205.3496    21.38662      1 chain_02/itr_00043_trial_01.rho
     2       44        0.475    458955.7831   -4974.4026     23.37469    23.37469  384205.3496    21.38662      1 chain_02/itr_00044_trial_01.rho
     2       45       0.4668    458955.7831       0.0000     23.37469    23.37469  384205.3496    21.38662      0 -
     2       46       0.4588    454125.5062   -4830.2769     23.25136    23.25136  384205.3496    21.38662      1 chain_02/itr_00046_trial_01.rho
     2       47        0.451    454125.5062       0.0000     23.25136    23.25136  384205.3496    21.38662      0 -
     2       48       0.4432    416449.2353  -37676.2709     22.26596    22.26596  384205.3496    21.38662      1 chain_02/itr_00048_trial_01.rho
     2       49       0.4356    423247.5849    6798.3496     22.44696    22.44696  384205.3496    21.38662      1 chain_02/itr_00049_trial_01.rho
     2       50       0.4281    483994.9044   60747.3195     24.00384    24.00384  384205.3496    21.38662      1 chain_02/itr_00050_trial_01.rho
     2       51       0.4208    545447.2588   61452.3544     25.48219    25.48219  384205.3496    21.38662      1 chain_02/itr_00051_trial_01.rho
     2       52       0.4136    646088.9128  100641.6540     27.73362    27.73362  384205.3496    21.38662      1 chain_02/itr_00052_trial_01.rho
     2       53       0.4065    765902.7116  119813.7988     30.19584    30.19584  384205.3496    21.38662      1 chain_02/itr_00053_trial_01.rho
     2       54       0.3995    616770.1758 -149132.5357     27.09705    27.09705  384205.3496    21.38662      1 chain_02/itr_00054_trial_01.rho
     2       55       0.3926    544456.4156  -72313.7602     25.45903    25.45903  384205.3496    21.38662      1 chain_02/itr_00055_trial_01.rho
     2       56       0.3859    369059.5978 -175396.8178     20.96084    20.96084  369059.5978    20.96084      1 chain_02/itr_00056_trial_01.rho
     2       57       0.3793    320213.3446  -48846.2532     19.52451    19.52451  320213.3446    19.52451      1 chain_02/itr_00057_trial_01.rho
     2       58       0.3728    280568.6002  -39644.7444     18.27595    18.27595  280568.6002    18.27595      1 chain_02/itr_00058_trial_01.rho
     2       59       0.3664    326743.9664   46175.3661     19.72260    19.72260  280568.6002    18.27595      1 chain_02/itr_00059_trial_01.rho
     2       60       0.3601    378973.1508   52229.1844     21.24049    21.24049  280568.6002    18.27595      1 chain_02/itr_00060_trial_01.rho
     2       61       0.3539    397013.8954   18040.7446     21.74018    21.74018  280568.6002    18.27595      1 chain_02/itr_00061_trial_01.rho
     2       62       0.3478    397013.8954       0.0000     21.74018    21.74018  280568.6002    18.27595      0 -
     2       63       0.3418    383177.2385  -13836.6569     21.35798    21.35798  280568.6002    18.27595      1 chain_02/itr_00063_trial_01.rho
     2       64        0.336    378913.6050   -4263.6335     21.23882    21.23882  280568.6002    18.27595      1 chain_02/itr_00064_trial_01.rho
     2       65       0.3302    327823.8333  -51089.7717     19.75516    19.75516  280568.6002    18.27595      1 chain_02/itr_00065_trial_01.rho
     2       66       0.3245    286993.4916  -40830.3417     18.48402    18.48402  280568.6002    18.27595      1 chain_02/itr_00066_trial_01.rho
     2       67        0.319    301633.9621   14640.4705     18.94962    18.94962  280568.6002    18.27595      1 chain_02/itr_00067_trial_01.rho
     2       68       0.3135    331090.5269   29456.5648     19.85335    19.85335  280568.6002    18.27595      1 chain_02/itr_00068_trial_01.rho
     2       69       0.3081    337685.7748    6595.2479     20.05011    20.05011  280568.6002    18.27595      1 chain_02/itr_00069_trial_01.rho
     2       70       0.3028    337685.7748       0.0000     20.05011    20.05011  280568.6002    18.27595      0 -
     2       71       0.2976    337639.4459     -46.3289     20.04873    20.04873  280568.6002    18.27595      1 chain_02/itr_00071_trial_01.rho
     2       72       0.2925    357360.9484   19721.5025     20.62595    20.62595  280568.6002    18.27595      1 chain_02/itr_00072_trial_01.rho
     2       73       0.2875    381585.3725   24224.4241     21.31357    21.31357  280568.6002    18.27595      1 chain_02/itr_00073_trial_01.rho
     2       74       0.2826    349377.1850  -32208.1875     20.39424    20.39424  280568.6002    18.27595      1 chain_02/itr_00074_trial_01.rho
