# VFSA 2D iteration best - 2026-09-15 01:08:56
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2        1            1     17480.4608    -471.8915      4.56181     4.56181   17480.4608     4.56181      1 chain_02/itr_00001_trial_01.rho
     2        2       0.9977     19433.5720    1953.1112      4.80991     4.80991   17480.4608     4.56181      1 chain_02/itr_00002_trial_01.rho
     2        3       0.9954     19779.4491     345.8770      4.85252     4.85252   17480.4608     4.56181      1 chain_02/itr_00003_trial_01.rho
     2        4       0.9931     20306.4437     526.9946      4.91674     4.91674   17480.4608     4.56181      1 chain_02/itr_00004_trial_01.rho
     2        5       0.9908     19648.3690    -658.0747      4.83642     4.83642   17480.4608     4.56181      1 chain_02/itr_00005_trial_01.rho
     2        6       0.9885     18964.6227    -683.7463      4.75152     4.75152   17480.4608     4.56181      1 chain_02/itr_00006_trial_01.rho
     2        7       0.9863     19451.5554     486.9326      4.81213     4.81213   17480.4608     4.56181      1 chain_02/itr_00007_trial_01.rho
     2        8        0.984     19268.3442    -183.2111      4.78942     4.78942   17480.4608     4.56181      1 chain_02/itr_00008_trial_01.rho
     2        9       0.9817     21302.6754    2034.3311      5.03590     5.03590   17480.4608     4.56181      1 chain_02/itr_00009_trial_01.rho
     2       10       0.9795     23553.7543    2251.0789      5.29530     5.29530   17480.4608     4.56181      1 chain_02/itr_00010_trial_01.rho
     2       11       0.9772     23109.2635    -444.4907      5.24510     5.24510   17480.4608     4.56181      1 chain_02/itr_00011_trial_01.rho
     2       12        0.975     23957.0864     847.8228      5.34044     5.34044   17480.4608     4.56181      1 chain_02/itr_00012_trial_01.rho
     2       13       0.9727     25993.7515    2036.6651      5.56282     5.56282   17480.4608     4.56181      1 chain_02/itr_00013_trial_01.rho
     2       14       0.9705     26418.5795     424.8280      5.60809     5.60809   17480.4608     4.56181      1 chain_02/itr_00014_trial_01.rho
     2       15       0.9683     24527.0263   -1891.5532      5.40360     5.40360   17480.4608     4.56181      1 chain_02/itr_00015_trial_01.rho
     2       16        0.966     22720.0395   -1806.9868      5.20074     5.20074   17480.4608     4.56181      1 chain_02/itr_00016_trial_01.rho
     2       17       0.9638     23037.6934     317.6539      5.23697     5.23697   17480.4608     4.56181      1 chain_02/itr_00017_trial_01.rho
     2       18       0.9616     23829.9796     792.2862      5.32626     5.32626   17480.4608     4.56181      1 chain_02/itr_00018_trial_01.rho
     2       19       0.9594     24781.2306     951.2511      5.43153     5.43153   17480.4608     4.56181      1 chain_02/itr_00019_trial_01.rho
     2       20       0.9572     25077.0492     295.8186      5.46385     5.46385   17480.4608     4.56181      1 chain_02/itr_00020_trial_01.rho
     2       21        0.955     24841.9825    -235.0667      5.43818     5.43818   17480.4608     4.56181      1 chain_02/itr_00021_trial_01.rho
     2       22       0.9528     24412.8529    -429.1297      5.39100     5.39100   17480.4608     4.56181      1 chain_02/itr_00022_trial_01.rho
     2       23       0.9506     27897.4847    3484.6318      5.76292     5.76292   17480.4608     4.56181      1 chain_02/itr_00023_trial_01.rho
     2       24       0.9484     30624.6555    2727.1708      6.03804     6.03804   17480.4608     4.56181      1 chain_02/itr_00024_trial_01.rho
     2       25       0.9462     31191.4463     566.7908      6.09366     6.09366   17480.4608     4.56181      1 chain_02/itr_00025_trial_01.rho
     2       26        0.944     29613.5311   -1577.9152      5.93753     5.93753   17480.4608     4.56181      1 chain_02/itr_00026_trial_01.rho
     2       27       0.9419     29486.2618    -127.2693      5.92475     5.92475   17480.4608     4.56181      1 chain_02/itr_00027_trial_01.rho
     2       28       0.9397     29509.4094      23.1477      5.92708     5.92708   17480.4608     4.56181      1 chain_02/itr_00028_trial_01.rho
     2       29       0.9375     29460.2421     -49.1673      5.92214     5.92214   17480.4608     4.56181      1 chain_02/itr_00029_trial_01.rho
     2       30       0.9354     29269.4618    -190.7803      5.90293     5.90293   17480.4608     4.56181      1 chain_02/itr_00030_trial_01.rho
     2       31       0.9332     27903.9346   -1365.5272      5.76359     5.76359   17480.4608     4.56181      1 chain_02/itr_00031_trial_01.rho
     2       32       0.9311     25783.7935   -2120.1412      5.54031     5.54031   17480.4608     4.56181      1 chain_02/itr_00032_trial_01.rho
     2       33       0.9289     27232.0702    1448.2767      5.69378     5.69378   17480.4608     4.56181      1 chain_02/itr_00033_trial_01.rho
     2       34       0.9268     28515.5189    1283.4487      5.82641     5.82641   17480.4608     4.56181      1 chain_02/itr_00034_trial_01.rho
