# VFSA 2D iteration best - 2026-09-14 18:09:22
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1        1            1     18187.2320     -35.8080      4.65311     4.65311   18187.2320     4.65311      1 chain_01/itr_00001_trial_01.rho
     1        2       0.9828     18144.8698     -42.3623      4.64769     4.64769   18144.8698     4.64769      1 chain_01/itr_00002_trial_01.rho
     1        3        0.966     18437.3359     292.4661      4.68500     4.68500   18144.8698     4.64769      1 chain_01/itr_00003_trial_01.rho
     1        4       0.9494     19282.0694     844.7335      4.79112     4.79112   18144.8698     4.64769      1 chain_01/itr_00004_trial_01.rho
     1        5       0.9331     19270.2671     -11.8024      4.78965     4.78965   18144.8698     4.64769      1 chain_01/itr_00005_trial_01.rho
     1        6       0.9171     18628.3035    -641.9635      4.70920     4.70920   18144.8698     4.64769      1 chain_01/itr_00006_trial_01.rho
     1        7       0.9013     18767.0177     138.7141      4.72670     4.72670   18144.8698     4.64769      1 chain_01/itr_00007_trial_01.rho
     1        8       0.8859     20210.2821    1443.2645      4.90509     4.90509   18144.8698     4.64769      1 chain_01/itr_00008_trial_01.rho
     1        9       0.8707     18426.6787   -1783.6034      4.68364     4.68364   18144.8698     4.64769      1 chain_01/itr_00009_trial_01.rho
     1       10       0.8557     16967.5628   -1459.1159      4.49438     4.49438   16967.5628     4.49438      1 chain_01/itr_00010_trial_01.rho
     1       11        0.841     17561.6970     594.1341      4.57239     4.57239   16967.5628     4.49438      1 chain_01/itr_00011_trial_01.rho
     1       12       0.8266     17942.0517     380.3547      4.62164     4.62164   16967.5628     4.49438      1 chain_01/itr_00012_trial_01.rho
     1       13       0.8124     17976.3680      34.3163      4.62606     4.62606   16967.5628     4.49438      1 chain_01/itr_00013_trial_01.rho
     1       14       0.7985     17324.8380    -651.5300      4.54145     4.54145   16967.5628     4.49438      1 chain_01/itr_00014_trial_01.rho
     1       15       0.7848     18074.8873     750.0493      4.63872     4.63872   16967.5628     4.49438      1 chain_01/itr_00015_trial_01.rho
     1       16       0.7713     17922.8494    -152.0380      4.61917     4.61917   16967.5628     4.49438      1 chain_01/itr_00016_trial_01.rho
     1       17       0.7581     19245.6461    1322.7968      4.78659     4.78659   16967.5628     4.49438      1 chain_01/itr_00017_trial_01.rho
     1       18        0.745     19694.7742     449.1281      4.84212     4.84212   16967.5628     4.49438      1 chain_01/itr_00018_trial_01.rho
     1       19       0.7323     20714.7509    1019.9767      4.96593     4.96593   16967.5628     4.49438      1 chain_01/itr_00019_trial_01.rho
     1       20       0.7197     21279.7489     564.9980      5.03319     5.03319   16967.5628     4.49438      1 chain_01/itr_00020_trial_01.rho
     1       21       0.7073     21276.4886      -3.2604      5.03281     5.03281   16967.5628     4.49438      1 chain_01/itr_00021_trial_01.rho
     1       22       0.6952     21045.7928    -230.6957      5.00545     5.00545   16967.5628     4.49438      1 chain_01/itr_00022_trial_01.rho
     1       23       0.6833     19690.2036   -1355.5893      4.84156     4.84156   16967.5628     4.49438      1 chain_01/itr_00023_trial_01.rho
     1       24       0.6715     20329.1342     638.9306      4.91949     4.91949   16967.5628     4.49438      1 chain_01/itr_00024_trial_01.rho
     1       25         0.66     21078.6805     749.5463      5.00936     5.00936   16967.5628     4.49438      1 chain_01/itr_00025_trial_01.rho
     1       26       0.6487     22300.7021    1222.0215      5.15252     5.15252   16967.5628     4.49438      1 chain_01/itr_00026_trial_01.rho
     1       27       0.6375     19433.9423   -2866.7597      4.80995     4.80995   16967.5628     4.49438      1 chain_01/itr_00027_trial_01.rho
     1       28       0.6266     17367.1277   -2066.8146      4.54699     4.54699   16967.5628     4.49438      1 chain_01/itr_00028_trial_01.rho
     1       29       0.6158     17960.1093     592.9816      4.62397     4.62397   16967.5628     4.49438      1 chain_01/itr_00029_trial_01.rho
     1       30       0.6053     17960.3927       0.2833      4.62400     4.62400   16967.5628     4.49438      1 chain_01/itr_00030_trial_01.rho
     1       31       0.5949     16705.5555   -1254.8372      4.45955     4.45955   16705.5555     4.45955      1 chain_01/itr_00031_trial_01.rho
     1       32       0.5847     16253.2698    -452.2857      4.39876     4.39876   16253.2698     4.39876      1 chain_01/itr_00032_trial_01.rho
     1       33       0.5746     14892.9233   -1360.3465      4.21066     4.21066   14892.9233     4.21066      1 chain_01/itr_00033_trial_01.rho
     1       34       0.5648     14875.3103     -17.6130      4.20817     4.20817   14875.3103     4.20817      1 chain_01/itr_00034_trial_01.rho
     1       35       0.5551     15988.3315    1113.0212      4.36277     4.36277   14875.3103     4.20817      1 chain_01/itr_00035_trial_01.rho
     1       36       0.5456     16963.2861     974.9546      4.49382     4.49382   14875.3103     4.20817      1 chain_01/itr_00036_trial_01.rho
     1       37       0.5362     16222.2464    -741.0397      4.39456     4.39456   14875.3103     4.20817      1 chain_01/itr_00037_trial_01.rho
     1       38        0.527     16222.2464       0.0000      4.39456     4.39456   14875.3103     4.20817      0 -
     1       39       0.5179     15445.4973    -776.7490      4.28806     4.28806   14875.3103     4.20817      1 chain_01/itr_00039_trial_01.rho
     1       40       0.5091     14544.4928    -901.0045      4.16111     4.16111   14544.4928     4.16111      1 chain_01/itr_00040_trial_01.rho
     1       41       0.5003     14268.5953    -275.8976      4.12146     4.12146   14268.5953     4.12146      1 chain_01/itr_00041_trial_01.rho
     1       42       0.4917     14819.9606     551.3654      4.20033     4.20033   14268.5953     4.12146      1 chain_01/itr_00042_trial_01.rho
     1       43       0.4833     16015.7006    1195.7400      4.36650     4.36650   14268.5953     4.12146      1 chain_01/itr_00043_trial_01.rho
     1       44        0.475     15741.9296    -273.7710      4.32902     4.32902   14268.5953     4.12146      1 chain_01/itr_00044_trial_01.rho
     1       45       0.4668     15383.9312    -357.9984      4.27951     4.27951   14268.5953     4.12146      1 chain_01/itr_00045_trial_01.rho
     1       46       0.4588     16210.3513     826.4201      4.39295     4.39295   14268.5953     4.12146      1 chain_01/itr_00046_trial_01.rho
     1       47        0.451     17458.6477    1248.2964      4.55896     4.55896   14268.5953     4.12146      1 chain_01/itr_00047_trial_01.rho
     1       48       0.4432     18097.1393     638.4916      4.64157     4.64157   14268.5953     4.12146      1 chain_01/itr_00048_trial_01.rho
     1       49       0.4356     18097.1393       0.0000      4.64157     4.64157   14268.5953     4.12146      0 -
     1       50       0.4281     17256.9322    -840.2071      4.53255     4.53255   14268.5953     4.12146      1 chain_01/itr_00050_trial_01.rho
     1       51       0.4208     16792.2257    -464.7065      4.47110     4.47110   14268.5953     4.12146      1 chain_01/itr_00051_trial_01.rho
     1       52       0.4136     17018.8549     226.6292      4.50117     4.50117   14268.5953     4.12146      1 chain_01/itr_00052_trial_01.rho
     1       53       0.4065     18353.7504    1334.8955      4.67437     4.67437   14268.5953     4.12146      1 chain_01/itr_00053_trial_01.rho
     1       54       0.3995     19265.5421     911.7917      4.78907     4.78907   14268.5953     4.12146      1 chain_01/itr_00054_trial_01.rho
     1       55       0.3926     19188.9803     -76.5618      4.77954     4.77954   14268.5953     4.12146      1 chain_01/itr_00055_trial_01.rho
     1       56       0.3859     19531.4314     342.4510      4.82200     4.82200   14268.5953     4.12146      1 chain_01/itr_00056_trial_01.rho
     1       57       0.3793     19813.0776     281.6462      4.85664     4.85664   14268.5953     4.12146      1 chain_01/itr_00057_trial_01.rho
     1       58       0.3728     20506.8895     693.8118      4.94095     4.94095   14268.5953     4.12146      1 chain_01/itr_00058_trial_01.rho
     1       59       0.3664     20705.2849     198.3955      4.96479     4.96479   14268.5953     4.12146      1 chain_01/itr_00059_trial_01.rho
     1       60       0.3601     21155.9446     450.6597      5.01853     5.01853   14268.5953     4.12146      1 chain_01/itr_00060_trial_01.rho
     1       61       0.3539     21272.3580     116.4134      5.03232     5.03232   14268.5953     4.12146      1 chain_01/itr_00061_trial_01.rho
     1       62       0.3478     20701.1858    -571.1721      4.96430     4.96430   14268.5953     4.12146      1 chain_01/itr_00062_trial_01.rho
     1       63       0.3418     20605.2614     -95.9244      4.95278     4.95278   14268.5953     4.12146      1 chain_01/itr_00063_trial_01.rho
     1       64        0.336     20199.0023    -406.2591      4.90372     4.90372   14268.5953     4.12146      1 chain_01/itr_00064_trial_01.rho
     1       65       0.3302     19773.5849    -425.4174      4.85180     4.85180   14268.5953     4.12146      1 chain_01/itr_00065_trial_01.rho
     1       66       0.3245     19725.1390     -48.4459      4.84585     4.84585   14268.5953     4.12146      1 chain_01/itr_00066_trial_01.rho
     1       67        0.319     20281.9533     556.8143      4.91377     4.91377   14268.5953     4.12146      1 chain_01/itr_00067_trial_01.rho
     1       68       0.3135     19785.7423    -496.2109      4.85329     4.85329   14268.5953     4.12146      1 chain_01/itr_00068_trial_01.rho
     1       69       0.3081     19582.7270    -203.0154      4.82833     4.82833   14268.5953     4.12146      1 chain_01/itr_00069_trial_01.rho
     1       70       0.3028     19038.9653    -543.7617      4.76082     4.76082   14268.5953     4.12146      1 chain_01/itr_00070_trial_01.rho
     1       71       0.2976     19038.9653       0.0000      4.76082     4.76082   14268.5953     4.12146      0 -
     1       72       0.2925     19937.7870     898.8217      4.87191     4.87191   14268.5953     4.12146      1 chain_01/itr_00072_trial_01.rho
     1       73       0.2875     19937.7870       0.0000      4.87191     4.87191   14268.5953     4.12146      0 -
     1       74       0.2826     19942.9745       5.1875      4.87254     4.87254   14268.5953     4.12146      1 chain_01/itr_00074_trial_01.rho
     1       75       0.2777     19438.0027    -504.9718      4.81046     4.81046   14268.5953     4.12146      1 chain_01/itr_00075_trial_01.rho
     1       76        0.273     18152.9208   -1285.0818      4.64872     4.64872   14268.5953     4.12146      1 chain_01/itr_00076_trial_01.rho
     1       77       0.2683     19754.5280    1601.6072      4.84946     4.84946   14268.5953     4.12146      1 chain_01/itr_00077_trial_01.rho
     1       78       0.2637     20317.8650     563.3370      4.91812     4.91812   14268.5953     4.12146      1 chain_01/itr_00078_trial_01.rho
     1       79       0.2591     23111.9993    2794.1343      5.24541     5.24541   14268.5953     4.12146      1 chain_01/itr_00079_trial_01.rho
     1       80       0.2547     24769.8976    1657.8983      5.43028     5.43028   14268.5953     4.12146      1 chain_01/itr_00080_trial_01.rho
     1       81       0.2503     23066.8260   -1703.0716      5.24028     5.24028   14268.5953     4.12146      1 chain_01/itr_00081_trial_01.rho
     1       82        0.246     24422.3595    1355.5335      5.39205     5.39205   14268.5953     4.12146      1 chain_01/itr_00082_trial_01.rho
