# VFSA 2D iteration best - 2026-09-14 17:01:27
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2        1            1     17480.4608    -471.8915      4.56181     4.56181   17480.4608     4.56181      1 chain_02/itr_00001_trial_01.rho
     2        2       0.9828     19431.2645    1950.8037      4.80962     4.80962   17480.4608     4.56181      1 chain_02/itr_00002_trial_01.rho
     2        3        0.966     19774.5831     343.3186      4.85192     4.85192   17480.4608     4.56181      1 chain_02/itr_00003_trial_01.rho
     2        4       0.9494     20298.6241     524.0410      4.91579     4.91579   17480.4608     4.56181      1 chain_02/itr_00004_trial_01.rho
     2        5       0.9331     19636.6924    -661.9317      4.83498     4.83498   17480.4608     4.56181      1 chain_02/itr_00005_trial_01.rho
     2        6       0.9171     18950.0683    -686.6241      4.74970     4.74970   17480.4608     4.56181      1 chain_02/itr_00006_trial_01.rho
     2        7       0.9013     19429.8674     479.7992      4.80945     4.80945   17480.4608     4.56181      1 chain_02/itr_00007_trial_01.rho
     2        8       0.8859     19240.5572    -189.3102      4.78596     4.78596   17480.4608     4.56181      1 chain_02/itr_00008_trial_01.rho
     2        9       0.8707     21256.7113    2016.1541      5.03047     5.03047   17480.4608     4.56181      1 chain_02/itr_00009_trial_01.rho
     2       10       0.8557     23481.6602    2224.9489      5.28719     5.28719   17480.4608     4.56181      1 chain_02/itr_00010_trial_01.rho
     2       11        0.841     23055.5466    -426.1136      5.23900     5.23900   17480.4608     4.56181      1 chain_02/itr_00011_trial_01.rho
     2       12       0.8266     23875.0810     819.5343      5.33130     5.33130   17480.4608     4.56181      1 chain_02/itr_00012_trial_01.rho
     2       13       0.8124     25853.2440    1978.1630      5.54776     5.54776   17480.4608     4.56181      1 chain_02/itr_00013_trial_01.rho
     2       14       0.7985     26280.9508     427.7068      5.59346     5.59346   17480.4608     4.56181      1 chain_02/itr_00014_trial_01.rho
     2       15       0.7848     24455.5892   -1825.3616      5.39572     5.39572   17480.4608     4.56181      1 chain_02/itr_00015_trial_01.rho
     2       16       0.7713     22641.9355   -1813.6537      5.19179     5.19179   17480.4608     4.56181      1 chain_02/itr_00016_trial_01.rho
     2       17       0.7581     22914.0799     272.1444      5.22290     5.22290   17480.4608     4.56181      1 chain_02/itr_00017_trial_01.rho
     2       18        0.745     23695.9482     781.8684      5.31126     5.31126   17480.4608     4.56181      1 chain_02/itr_00018_trial_01.rho
     2       19       0.7323     24567.3280     871.3798      5.40803     5.40803   17480.4608     4.56181      1 chain_02/itr_00019_trial_01.rho
     2       20       0.7197     24817.8560     250.5280      5.43554     5.43554   17480.4608     4.56181      1 chain_02/itr_00020_trial_01.rho
     2       21       0.7073     24591.7260    -226.1300      5.41072     5.41072   17480.4608     4.56181      1 chain_02/itr_00021_trial_01.rho
     2       22       0.6952     24152.9992    -438.7268      5.36224     5.36224   17480.4608     4.56181      1 chain_02/itr_00022_trial_01.rho
     2       23       0.6833     27430.3937    3277.3945      5.71448     5.71448   17480.4608     4.56181      1 chain_02/itr_00023_trial_01.rho
     2       24       0.6715     30128.9452    2698.5515      5.98897     5.98897   17480.4608     4.56181      1 chain_02/itr_00024_trial_01.rho
     2       25         0.66     30619.8545     490.9092      6.03757     6.03757   17480.4608     4.56181      1 chain_02/itr_00025_trial_01.rho
     2       26       0.6487     29048.8548   -1570.9997      5.88064     5.88064   17480.4608     4.56181      1 chain_02/itr_00026_trial_01.rho
     2       27       0.6375     28976.5689     -72.2859      5.87332     5.87332   17480.4608     4.56181      1 chain_02/itr_00027_trial_01.rho
     2       28       0.6266     28999.2048      22.6359      5.87562     5.87562   17480.4608     4.56181      1 chain_02/itr_00028_trial_01.rho
     2       29       0.6158     28972.3377     -26.8671      5.87289     5.87289   17480.4608     4.56181      1 chain_02/itr_00029_trial_01.rho
     2       30       0.6053     28761.5111    -210.8265      5.85149     5.85149   17480.4608     4.56181      1 chain_02/itr_00030_trial_01.rho
     2       31       0.5949     27464.9047   -1296.6064      5.71807     5.71807   17480.4608     4.56181      1 chain_02/itr_00031_trial_01.rho
     2       32       0.5847     25422.5497   -2042.3551      5.50136     5.50136   17480.4608     4.56181      1 chain_02/itr_00032_trial_01.rho
     2       33       0.5746     26799.2461    1376.6965      5.64835     5.64835   17480.4608     4.56181      1 chain_02/itr_00033_trial_01.rho
     2       34       0.5648     27994.9644    1195.7182      5.77298     5.77298   17480.4608     4.56181      1 chain_02/itr_00034_trial_01.rho
