# VFSA 2D iteration best - 2026-09-14 16:47:36
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1        1            1    772526.1736    2464.1950     30.32613    30.32613  770061.9786    30.27772      1 chain_01/itr_00001_trial_01.rho
     1        2       0.9828    826915.1919   54389.0183     31.37551    31.37551  770061.9786    30.27772      1 chain_01/itr_00002_trial_01.rho
     1        3        0.966   1123936.5667  297021.3748     36.57895    36.57895  770061.9786    30.27772      1 chain_01/itr_00003_trial_01.rho
     1        4       0.9494   1151384.8139   27448.2472     37.02291    37.02291  770061.9786    30.27772      1 chain_01/itr_00004_trial_01.rho
     1        5       0.9331    930350.2798 -221034.5341     33.28002    33.28002  770061.9786    30.27772      1 chain_01/itr_00005_trial_01.rho
     1        6       0.9171   1021249.2680   90898.9882     34.86794    34.86794  770061.9786    30.27772      1 chain_01/itr_00006_trial_01.rho
     1        7       0.9013    961546.2617  -59703.0063     33.83338    33.83338  770061.9786    30.27772      1 chain_01/itr_00007_trial_01.rho
     1        8       0.8859    898118.7062  -63427.5555     32.69845    32.69845  770061.9786    30.27772      1 chain_01/itr_00008_trial_01.rho
     1        9       0.8707    780616.6032 -117502.1029     30.48451    30.48451  770061.9786    30.27772      1 chain_01/itr_00009_trial_01.rho
     1       10       0.8557    817227.4515   36610.8482     31.19118    31.19118  770061.9786    30.27772      1 chain_01/itr_00010_trial_01.rho
     1       11        0.841    838798.4542   21571.0027     31.60015    31.60015  770061.9786    30.27772      1 chain_01/itr_00011_trial_01.rho
     1       12       0.8266    726944.0319 -111854.4223     29.41784    29.41784  726944.0319    29.41784      1 chain_01/itr_00012_trial_01.rho
     1       13       0.8124    719137.3298   -7806.7021     29.25946    29.25946  719137.3298    29.25946      1 chain_01/itr_00013_trial_01.rho
     1       14       0.7985    791015.2151   71877.8854     30.68688    30.68688  719137.3298    29.25946      1 chain_01/itr_00014_trial_01.rho
     1       15       0.7848    549548.2314 -241466.9838     25.57780    25.57780  549548.2314    25.57780      1 chain_01/itr_00015_trial_01.rho
     1       16       0.7713    620440.5650   70892.3336     27.17756    27.17756  549548.2314    25.57780      1 chain_01/itr_00016_trial_01.rho
     1       17       0.7581    561466.5226  -58974.0424     25.85368    25.85368  549548.2314    25.57780      1 chain_01/itr_00017_trial_01.rho
     1       18        0.745    543910.6474  -17555.8752     25.44627    25.44627  543910.6474    25.44627      1 chain_01/itr_00018_trial_01.rho
     1       19       0.7323    559749.7580   15839.1107     25.81412    25.81412  543910.6474    25.44627      1 chain_01/itr_00019_trial_01.rho
     1       20       0.7197    431732.3796 -128017.3784     22.67084    22.67084  431732.3796    22.67084      1 chain_01/itr_00020_trial_01.rho
     1       21       0.7073    423555.3444   -8177.0353     22.45512    22.45512  423555.3444    22.45512      1 chain_01/itr_00021_trial_01.rho
     1       22       0.6952    443399.4637   19844.1193     22.97513    22.97513  423555.3444    22.45512      1 chain_01/itr_00022_trial_01.rho
     1       23       0.6833    381973.7078  -61425.7558     21.32441    21.32441  381973.7078    21.32441      1 chain_01/itr_00023_trial_01.rho
     1       24       0.6715    353186.9210  -28786.7868     20.50514    20.50514  353186.9210    20.50514      1 chain_01/itr_00024_trial_01.rho
     1       25         0.66    360865.5865    7678.6655     20.72684    20.72684  353186.9210    20.50514      1 chain_01/itr_00025_trial_01.rho
     1       26       0.6487    313993.5944  -46871.9921     19.33396    19.33396  313993.5944    19.33396      1 chain_01/itr_00026_trial_01.rho
     1       27       0.6375    331938.8833   17945.2888     19.87877    19.87877  313993.5944    19.33396      1 chain_01/itr_00027_trial_01.rho
     1       28       0.6266    350263.8227   18324.9395     20.42011    20.42011  313993.5944    19.33396      1 chain_01/itr_00028_trial_01.rho
     1       29       0.6158    335256.3108  -15007.5119     19.97785    19.97785  313993.5944    19.33396      1 chain_01/itr_00029_trial_01.rho
     1       30       0.6053    306926.9362  -28329.3747     19.11516    19.11516  306926.9362    19.11516      1 chain_01/itr_00030_trial_01.rho
     1       31       0.5949    296823.2581  -10103.6781     18.79790    18.79790  296823.2581    18.79790      1 chain_01/itr_00031_trial_01.rho
     1       32       0.5847    298780.8919    1957.6338     18.85979    18.85979  296823.2581    18.79790      1 chain_01/itr_00032_trial_01.rho
     1       33       0.5746    275437.5223  -23343.3696     18.10806    18.10806  275437.5223    18.10806      1 chain_01/itr_00033_trial_01.rho
     1       34       0.5648    252527.7989  -22909.7234     17.33864    17.33864  252527.7989    17.33864      1 chain_01/itr_00034_trial_01.rho
     1       35       0.5551    250393.0020   -2134.7970     17.26519    17.26519  250393.0020    17.26519      1 chain_01/itr_00035_trial_01.rho
     1       36       0.5456    207233.6237  -43159.3783     15.70690    15.70690  207233.6237    15.70690      1 chain_01/itr_00036_trial_01.rho
     1       37       0.5362    187454.2860  -19779.3377     14.93854    14.93854  187454.2860    14.93854      1 chain_01/itr_00037_trial_01.rho
