# VFSA 2D iteration best - 2026-09-14 16:50:58
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     2        1            1    860555.2480   90493.2694     32.00735    32.00735  770061.9786    30.27772      1 chain_02/itr_00001_trial_01.rho
     2        2       0.9828   1028123.8821  167568.6340     34.98510    34.98510  770061.9786    30.27772      1 chain_02/itr_00002_trial_01.rho
     2        3        0.966   1124208.2914   96084.4093     36.58337    36.58337  770061.9786    30.27772      1 chain_02/itr_00003_trial_01.rho
     2        4       0.9494    997413.9827 -126794.3087     34.45864    34.45864  770061.9786    30.27772      1 chain_02/itr_00004_trial_01.rho
     2        5       0.9331    939165.8894  -58248.0933     33.43732    33.43732  770061.9786    30.27772      1 chain_02/itr_00005_trial_01.rho
     2        6       0.9171    923441.0508  -15724.8387     33.15621    33.15621  770061.9786    30.27772      1 chain_02/itr_00006_trial_01.rho
     2        7       0.9013   1003663.2469   80222.1962     34.56642    34.56642  770061.9786    30.27772      1 chain_02/itr_00007_trial_01.rho
     2        8       0.8859   1132472.1714  128808.9245     36.71759    36.71759  770061.9786    30.27772      1 chain_02/itr_00008_trial_01.rho
     2        9       0.8707   1206618.6499   74146.4785     37.90054    37.90054  770061.9786    30.27772      1 chain_02/itr_00009_trial_01.rho
     2       10       0.8557   1306010.5803   99391.9304     39.43063    39.43063  770061.9786    30.27772      1 chain_02/itr_00010_trial_01.rho
     2       11        0.841   1218656.2773  -87354.3030     38.08912    38.08912  770061.9786    30.27772      1 chain_02/itr_00011_trial_01.rho
     2       12       0.8266   1271316.4834   52660.2061     38.90337    38.90337  770061.9786    30.27772      1 chain_02/itr_00012_trial_01.rho
     2       13       0.8124   1255929.5673  -15386.9160     38.66722    38.66722  770061.9786    30.27772      1 chain_02/itr_00013_trial_01.rho
     2       14       0.7985   1085867.9736 -170061.5937     35.95414    35.95414  770061.9786    30.27772      1 chain_02/itr_00014_trial_01.rho
     2       15       0.7848    963397.5192 -122470.4544     33.86594    33.86594  770061.9786    30.27772      1 chain_02/itr_00015_trial_01.rho
     2       16       0.7713    771030.0990 -192367.4202     30.29675    30.29675  770061.9786    30.27772      1 chain_02/itr_00016_trial_01.rho
     2       17       0.7581    778054.0461    7023.9471     30.43443    30.43443  770061.9786    30.27772      1 chain_02/itr_00017_trial_01.rho
     2       18        0.745    692180.9280  -85873.1181     28.70583    28.70583  692180.9280    28.70583      1 chain_02/itr_00018_trial_01.rho
     2       19       0.7323    561405.8894 -130775.0387     25.85228    25.85228  561405.8894    25.85228      1 chain_02/itr_00019_trial_01.rho
     2       20       0.7197    550069.2553  -11336.6341     25.58993    25.58993  550069.2553    25.58993      1 chain_02/itr_00020_trial_01.rho
     2       21       0.7073    514552.8164  -35516.4389     24.75001    24.75001  514552.8164    24.75001      1 chain_02/itr_00021_trial_01.rho
     2       22       0.6952    452641.1747  -61911.6417     23.21333    23.21333  452641.1747    23.21333      1 chain_02/itr_00022_trial_01.rho
     2       23       0.6833    453492.8284     851.6537     23.23515    23.23515  452641.1747    23.21333      1 chain_02/itr_00023_trial_01.rho
