# VFSA 2D iteration best - 2026-09-14 18:07:11
# chains=2  n_ctrl=250  frac_update_controls=1.0  temp_kappa=1.0  cool_ratio=0.001  target_rms=1.0  n_trials=1
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
 Chain     Iter         Temp       Chi2Curr        dChi2      RMSCurr     CurrRMS     Chi2Best     RMSBest   Nacc Model
--------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------------
     1        1            1    833248.7210   64038.3478     31.49544    31.49544  769210.3732    30.26098      1 chain_01/itr_00001_trial_01.rho
     1        2       0.9828    811930.8166  -21317.9045     31.08994    31.08994  769210.3732    30.26098      1 chain_01/itr_00002_trial_01.rho
     1        3        0.966    911159.4446   99228.6281     32.93499    32.93499  769210.3732    30.26098      1 chain_01/itr_00003_trial_01.rho
     1        4       0.9494    960508.0996   49348.6550     33.81512    33.81512  769210.3732    30.26098      1 chain_01/itr_00004_trial_01.rho
     1        5       0.9331   1051098.3391   90590.2395     35.37383    35.37383  769210.3732    30.26098      1 chain_01/itr_00005_trial_01.rho
     1        6       0.9171    997080.7579  -54017.5812     34.45288    34.45288  769210.3732    30.26098      1 chain_01/itr_00006_trial_01.rho
     1        7       0.9013    996546.2192    -534.5387     34.44364    34.44364  769210.3732    30.26098      1 chain_01/itr_00007_trial_01.rho
     1        8       0.8859   1063109.6573   66563.4381     35.57537    35.57537  769210.3732    30.26098      1 chain_01/itr_00008_trial_01.rho
     1        9       0.8707   1063109.6573       0.0000     35.57537    35.57537  769210.3732    30.26098      0 -
     1       10       0.8557   1060943.9910   -2165.6662     35.53911    35.53911  769210.3732    30.26098      1 chain_01/itr_00010_trial_01.rho
     1       11        0.841   1073781.8653   12837.8743     35.75349    35.75349  769210.3732    30.26098      1 chain_01/itr_00011_trial_01.rho
     1       12       0.8266    809914.6386 -263867.2267     31.05131    31.05131  769210.3732    30.26098      1 chain_01/itr_00012_trial_01.rho
     1       13       0.8124    582188.2411 -227726.3975     26.32644    26.32644  582188.2411    26.32644      1 chain_01/itr_00013_trial_01.rho
     1       14       0.7985    572013.4018  -10174.8393     26.09537    26.09537  572013.4018    26.09537      1 chain_01/itr_00014_trial_01.rho
     1       15       0.7848    656636.2066   84622.8048     27.95907    27.95907  572013.4018    26.09537      1 chain_01/itr_00015_trial_01.rho
     1       16       0.7713    663277.7885    6641.5820     28.10011    28.10011  572013.4018    26.09537      1 chain_01/itr_00016_trial_01.rho
     1       17       0.7581    603137.2601  -60140.5284     26.79591    26.79591  572013.4018    26.09537      1 chain_01/itr_00017_trial_01.rho
     1       18        0.745    672685.5525   69548.2924     28.29869    28.29869  572013.4018    26.09537      1 chain_01/itr_00018_trial_01.rho
     1       19       0.7323    547856.0919 -124829.4606     25.53840    25.53840  547856.0919    25.53840      1 chain_01/itr_00019_trial_01.rho
     1       20       0.7197    609585.5050   61729.4130     26.93876    26.93876  547856.0919    25.53840      1 chain_01/itr_00020_trial_01.rho
     1       21       0.7073    512096.7180  -97488.7869     24.69087    24.69087  512096.7180    24.69087      1 chain_01/itr_00021_trial_01.rho
     1       22       0.6952    512096.7180       0.0000     24.69087    24.69087  512096.7180    24.69087      0 -
     1       23       0.6833    472592.9366  -39503.7814     23.71941    23.71941  472592.9366    23.71941      1 chain_01/itr_00023_trial_01.rho
     1       24       0.6715    390679.3186  -81913.6180     21.56605    21.56605  390679.3186    21.56605      1 chain_01/itr_00024_trial_01.rho
     1       25         0.66    410470.2240   19790.9054     22.10554    22.10554  390679.3186    21.56605      1 chain_01/itr_00025_trial_01.rho
     1       26       0.6487    400540.1086   -9930.1153     21.83652    21.83652  390679.3186    21.56605      1 chain_01/itr_00026_trial_01.rho
     1       27       0.6375    308657.5618  -91882.5468     19.16897    19.16897  308657.5618    19.16897      1 chain_01/itr_00027_trial_01.rho
     1       28       0.6266    378874.1714   70216.6096     21.23772    21.23772  308657.5618    19.16897      1 chain_01/itr_00028_trial_01.rho
